"","varE","varB","varU3","varU4","varU5"
"varMean",0.0065204148519,0.00115171943368,0.000441895373463,0.000437541668705,0.00015921014902
"varfm",0.00650268536577204,0.00114741825381275,0.000451006523547788,0.000441097879467526,0.000162014705479926
