"","crossID","Crosses","P1","malePar","plotNo","Region","line","block","Year","PhotoScore","dryWgtPerM","AshFreedryWgtPerM"
"314","SL19-UCONN-S145","SL18-LL-9-FG6xSA18-CB-10-MG3","SL18-LL-9-FG6","SA18-CB-10-MG3","2020_145","GOM",3,6,2020,2,0.02452874,NA
"315","SL19-UCONN-S146","SL18-OI-15-FG2xSA18-CB-2-MG3","SL18-OI-15-FG2","SA18-CB-2-MG3","2020_146","GOM",3,6,2020,3,0.608846704,NA
"316","SL19-UCONN-S147","SA18-CB-2-FG3xSL18-NC-9-MG1","SA18-CB-2-FG3","SL18-NC-9-MG1","2020_147","GOM",3,6,2020,3,0.421900032,"0.234492038"
"318","SL19-UCONN-S149","SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-NL-2-FG3","SA18-CB-4-MG1","2020_149","GOM",3,6,2020,2,0.038884822,"0.023420328"
"321","SL19-UCONN-S151","SA18-CB-5-FG4xSL18-CC-1-MG3","SA18-CB-5-FG4","SL18-CC-1-MG3","2020_151","GOM",3,7,2020,3,0.482847742,NA
"322","SL19-UCONN-S152","SL18-CC-3-FG1xSL18-JS-6-MG3","SL18-CC-3-FG1","SL18-JS-6-MG3","2020_152","GOM",3,7,2020,3,0.775134127,"0.443996828"
"323","SL19-UCONN-S153","SL18-JS-16-FG1xSL18-LD-2-MG2","SL18-JS-16-FG1","SL18-LD-2-MG2","2020_153","GOM",3,7,2020,3,0.216354947,NA
"324","SL19-UCONN-S154","SL18-NC-10-FG1xSL18-NC-5-MG1","SL18-NC-10-FG1","SL18-NC-5-MG1","2020_154","GOM",3,7,2020,2,0.018680038,NA
"28","SL19-UCONN-S156","SL18-OI-17-FG4xSL18-JS-6-MG2","SL18-OI-17-FG4","SL18-JS-6-MG2","2020_156","GOM",3,7,2020,3,1.143510679,"0.657289938"
"326","SL19-UCONN-S157","SL18-CC-1-FG2xSL18-OI-16-MG3","SL18-CC-1-FG2","SL18-OI-16-MG3","2020_157","GOM",3,8,2020,2,0.078623966,"0.045499689"
"327","SL19-UCONN-S158","SA18-CB-2-FG3xSL18-OI-2-MG2","SA18-CB-2-FG3","SL18-OI-2-MG2","2020_158","GOM",3,8,2020,3,0.371376484,NA
"328","SL19-UCONN-S159","SL18-CC-5-FG3xSL18-JS-19-MG2","SL18-CC-5-FG3","SL18-JS-19-MG2","2020_159","GOM",3,8,2020,2,0.176738612,NA
"23","SL19-UCONN-S160","SL18-CC-3-FG2xSA18-CB-10-MG3","SL18-CC-3-FG2","SA18-CB-10-MG3","2020_160","GOM",3,8,2020,3,2.089694461,"1.199484621"
"12","SL19-UCONN-S162","SL18-CC-1-FG1xSL18-OI-16-MG3","SL18-CC-1-FG1","SL18-OI-16-MG3","2020_162","GOM",3,9,2020,3,0.14812139,"0.086665825"
"331","SL19-UCONN-S163","SL18-JS-16-FG3xSL18-OD-6-MG2","SL18-JS-16-FG3","SL18-OD-6-MG2","2020_163","GOM",3,9,2020,2,0.162267733,"0.102147538"
"337","SL19-UCONN-S169","SL18-OI-4-FG2xSL18-NC-15-MG1","SL18-OI-4-FG2","SL18-NC-15-MG1","2020_169","GOM",3,10,2020,3,1.014038283,"0.573235841"
"339","SL19-UCONN-S170","SL18-NC-12-FG2xSL18-OI-16-MG1","SL18-NC-12-FG2","SL18-OI-16-MG1","2020_170","GOM",3,10,2020,2,0.259678296,NA
"19","SL19-UCONN-S172","SL18-CC-8-FG2xSL18-JS-5-MG3","SL18-CC-8-FG2","SL18-JS-5-MG3","2020_172","GOM",3,10,2020,3,1.468216837,"0.870652584"
"342","SL19-UCONN-S174","SL18-OI-4-FG2xSL18-JS-19-MG2","SL18-OI-4-FG2","SL18-JS-19-MG2","2020_174","GOM",3,11,2020,2,0.249342417,NA
"37","SL19-UCONN-S176","SL18-OI-6-FG2xSA18-CB-4-MG2","SL18-OI-6-FG2","SA18-CB-4-MG2","2020_176","GOM",4,1,2020,3,2.148595766,"1.367366345"
"346","SL19-UCONN-S179","SL18-CC-3-FG1xSL18-JS-5-MG2","SL18-CC-3-FG1","SL18-JS-5-MG2","2020_179","GOM",4,1,2020,3,1.028074377,"0.562253877"
"348","SL19-UCONN-S180","SL18-CC-3-FG2xSL18-OD-6-MG1","SL18-CC-3-FG2","SL18-OD-6-MG1","2020_180","GOM",4,2,2020,3,0.864280209,"0.498430397"
"349","SL19-UCONN-S181","SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-LD-2-FG2","SL18-SF-19-MG1","2020_181","GOM",4,2,2020,2,0.059279684,"0.035135069"
"350","SL19-UCONN-S182","SL18-LD-13-FG2xSA18-CB-7-MG1","SL18-LD-13-FG2","SA18-CB-7-MG1","2020_182","GOM",4,2,2020,2,0.305279087,NA
"21","SL19-UCONN-S185","SL18-OI-6-FG2xSL18-LD-2-MG2","SL18-OI-6-FG2","SL18-LD-2-MG2","2020_185","GOM",4,3,2020,3,1.181927802,"0.695682704"
"353","SL19-UCONN-S186","SL18-CC-12-FG3xSL18-OI-15-MG3","SL18-CC-12-FG3","SL18-OI-15-MG3","2020_186","GOM",4,3,2020,3,0.214452877,NA
"356","SL19-UCONN-S189","SL18-CC-11-FG3xSL18-NC-2-MG3","SL18-CC-11-FG3","SL18-NC-2-MG3","2020_189","GOM",4,3,2020,3,0.757613556,"0.407141525"
"358","SL19-UCONN-S190","SL18-CC-12-FG2xSL18-OI-15-MG2","SL18-CC-12-FG2","SL18-OI-15-MG2","2020_190","GOM",4,3,2020,3,1.030320421,"0.611907298"
"359","SL19-UCONN-S191","SL18-SF-17-FG2xSA18-CB-1-MG13","SL18-SF-17-FG2","SA18-CB-1-MG13","2020_191","GOM",4,4,2020,2,0.29622886,NA
"368","SL19-UCONN-S2","SL18-SF-17-FG2xSL18-OI-4-MG3","SL18-SF-17-FG2","SL18-OI-4-MG3","2020_2","GOM",1,1,2020,2,0.194399721,NA
"369","SL19-UCONN-S20","SL18-NC-10-FG3xSL18-NL-5-MG2","SL18-NC-10-FG3","SL18-NL-5-MG2","2020_20","GOM",1,4,2020,2,0.054416662,NA
"371","SL19-UCONN-S201","SL18-CC-8-FG2xSL18-LD-9-MG1","SL18-CC-8-FG2","SL18-LD-9-MG1","2020_201","GOM",4,5,2020,3,0.389114621,"0.235141965"
"375","SL19-UCONN-S205","SL18-NL-3-FG3xSL18-NC-9-MG2","SL18-NL-3-FG3","SL18-NC-9-MG2","2020_205","GOM",4,6,2020,3,0.641466594,"0.365379372"
"376","SL19-UCONN-S206","SL18-OI-6-FG3xSL18-CC-11-MG5","SL18-OI-6-FG3","SL18-CC-11-MG5","2020_206","GOM",4,6,2020,3,1.011867361,"0.587287816"
"377","SL19-UCONN-S207","SL18-CC-8-FG1xSL18-OI-7-MG1","SL18-CC-8-FG1","SL18-OI-7-MG1","2020_207","GOM",4,6,2020,2,0.075510606,"0.045049628"
"378","SL19-UCONN-S208","SL18-JS-5-FG1xSL18-OI-14-MG1","SL18-JS-5-FG1","SL18-OI-14-MG1","2020_208","GOM",4,6,2020,2,0.019950677,NA
"20","SL19-UCONN-S210","SL18-NC-10-FG1xSL18-OI-11-MG4","SL18-NC-10-FG1","SL18-OI-11-MG4","2020_210","GOM",4,7,2020,2,0.116699363,"0.066425277"
"383","SL19-UCONN-S213","SL18-SF-17-FG2xSA18-CB-7-MG2","SL18-SF-17-FG2","SA18-CB-7-MG2","2020_213","GOM",4,7,2020,3,0.635797122,NA
"385","SL19-UCONN-S215","SL18-CC-9-FG3xSL18-JS-9-MG3","SL18-CC-9-FG3","SL18-JS-9-MG3","2020_215","GOM",4,8,2020,2,0.084498909,"0.048738971"
"389","SL19-UCONN-S219","SL18-CC-5-FG2xSL18-NC-10-MG2","SL18-CC-5-FG2","SL18-NC-10-MG2","2020_219","GOM",4,8,2020,3,0.226865114,NA
"391","SL19-UCONN-S220","SL18-OI-11-FG3xSL18-NC-2-MG1","SL18-OI-11-FG3","SL18-NC-2-MG1","2020_220","GOM",4,9,2020,3,0.976864551,"0.547923327"
"392","SL19-UCONN-S221","SL18-NC-9-FG2xSL18-JS-11-MG3","SL18-NC-9-FG2","SL18-JS-11-MG3","2020_221","GOM",4,9,2020,2,0.163135424,NA
"395","SL19-UCONN-S224","SL18-LD-9-FG4xSL18-OI-6-MG2","SL18-LD-9-FG4","SL18-OI-6-MG2","2020_224","GOM",4,9,2020,3,0.479252814,"0.32014088"
"397","SL19-UCONN-S226","SL18-CC-3-FG2xSL18-OI-11-MG3","SL18-CC-3-FG2","SL18-OI-11-MG3","2020_226","GOM",4,10,2020,3,0.344977353,NA
"399","SL19-UCONN-S228","SL18-OI-9-FG4xSA18-CB-1-MG12","SL18-OI-9-FG4","SA18-CB-1-MG12","2020_228","GOM",4,10,2020,3,0.895148854,"0.623739721"
"401","SL19-UCONN-S23","SL18-CC-3-FG2xSA18-CB-4-MG2","SL18-CC-3-FG2","SA18-CB-4-MG2","2020_23","GOM",1,5,2020,2,0.202603383,NA
"404","SL19-UCONN-S232","SL18-NC-5-FG2xSL18-JS-11-MG3","SL18-NC-5-FG2","SL18-JS-11-MG3","2020_232","GOM",4,11,2020,2,0.015173946,NA
"405","SL19-UCONN-S233","SL18-CC-8-FG1xSL18-OI-18-MG3","SL18-CC-8-FG1","SL18-OI-18-MG3","2020_233","GOM",5,1,2020,3,0.368921013,NA
"407","SL19-UCONN-S235","SL18-CC-6-FG3xSL18-JS-9-MG2","SL18-CC-6-FG3","SL18-JS-9-MG2","2020_235","GOM",5,1,2020,2,0.182633664,NA
"412","SL19-UCONN-S24","SL18-NL-7-FG4xSA18-CB-1-MG12","SL18-NL-7-FG4","SA18-CB-1-MG12","2020_24","GOM",1,5,2020,2,0.073979465,"0.046880787"
"413","SL19-UCONN-S240","SL18-CC-1-FG1xSL18-NC-15-MG3","SL18-CC-1-FG1","SL18-NC-15-MG3","2020_240","GOM",5,2,2020,3,0.740682368,"0.418559606"
"417","SL19-UCONN-S244","SL18-CC-1-FG1xSL18-CC-4-MG11","SL18-CC-1-FG1","SL18-CC-4-MG11","2020_244","GOM",5,2,2020,3,0.344700631,NA
"419","SL19-UCONN-S246","SL18-CC-5-FG2xSL18-NC-9-MG2","SL18-CC-5-FG2","SL18-NC-9-MG2","2020_246","GOM",5,3,2020,3,0.206048658,NA
"421","SL19-UCONN-S248","SA18-CB-9-FG1xSL18-JS-19-MG1","SA18-CB-9-FG1","SL18-JS-19-MG1","2020_248","GOM",5,3,2020,3,0.857575582,"0.483072325"
"422","SL19-UCONN-S249","SL18-NL-3-FG1xSL18-OD-3-MG1","SL18-NL-3-FG1","SL18-OD-3-MG1","2020_249","GOM",5,3,2020,3,0.096011073,NA
"423","SL19-UCONN-S25","SL18-CC-5-FG3xSA18-CB-1-MG12","SL18-CC-5-FG3","SA18-CB-1-MG12","2020_25","GOM",1,5,2020,3,0.240570651,NA
"424","SL19-UCONN-S250","SL18-CC-8-FG2xSL18-NC-5-MG3","SL18-CC-8-FG2","SL18-NC-5-MG3","2020_250","GOM",5,3,2020,2,0.02886746,NA
"429","SL19-UCONN-S255","SL18-CC-6-FG3xSL18-OI-14-MG2","SL18-CC-6-FG3","SL18-OI-14-MG2","2020_255","GOM",5,4,2020,2,0.11803921,"0.067589252"
"432","SL19-UCONN-S258","SL18-NC-12-FG2xSA18-CB-3-MG1","SL18-NC-12-FG2","SA18-CB-3-MG1","2020_258","GOM",5,5,2020,3,0.379091481,NA
"433","SL19-UCONN-S259","SL18-CC-3-FG3xSL18-OD-6-MG3","SL18-CC-3-FG3","SL18-OD-6-MG3","2020_259","GOM",5,5,2020,3,0.563352197,NA
"434","SL19-UCONN-S26","SL18-CC-6-FG2xSL18-OI-14-MG1","SL18-CC-6-FG2","SL18-OI-14-MG1","2020_26","GOM",1,5,2020,3,0.233120687,NA
"435","SL19-UCONN-S260","SL18-JS-19-FG3xSA18-CB-3-MG2","SL18-JS-19-FG3","SA18-CB-3-MG2","2020_260","GOM",5,5,2020,2,0.032183786,NA
"436","SL19-UCONN-S261","SL18-NC-12-FG2xSL18-NL-5-MG2","SL18-NC-12-FG2","SL18-NL-5-MG2","2020_261","GOM",5,5,2020,2,NA,NA
"438","SL19-UCONN-S263","SL18-JS-5-FG1xSA18-CB-1-MG12","SL18-JS-5-FG1","SA18-CB-1-MG12","2020_263","GOM",5,6,2020,2,0.073085831,"0.043244886"
"439","SL19-UCONN-S264","SL18-JS-16-FG3xSA18-CB-4-MG3","SL18-JS-16-FG3","SA18-CB-4-MG3","2020_264","GOM",5,6,2020,2,0.099304978,"0.056901752"
"440","SL19-UCONN-S265","SL18-OI-4-FG2xSA18-CB-7-MG2","SL18-OI-4-FG2","SA18-CB-7-MG2","2020_265","GOM",5,6,2020,3,2.019239106,"1.110379584"
"443","SL19-UCONN-S268","SL18-NC-1-FG1xSL18-NC-12-MG3","SL18-NC-1-FG1","SL18-NC-12-MG3","2020_268","GOM",5,7,2020,3,0.09967743,"0.058241522"
"447","SL19-UCONN-S271","SL18-NC-15-FG3xSL18-CC-1-MG2","SL18-NC-15-FG3","SL18-CC-1-MG2","2020_271","GOM",5,7,2020,3,0.100402733,"0.05473957"
"448","SL19-UCONN-S272","SL18-SF-17-FG2xSL18-NC-12-MG1","SL18-SF-17-FG2","SL18-NC-12-MG1","2020_272","GOM",5,7,2020,3,0.507413109,NA
"449","SL19-UCONN-S273","SL18-CC-5-FG2xSL18-NC-10-MG2","SL18-CC-5-FG2","SL18-NC-10-MG2","2020_273","GOM",5,8,2020,3,0.387601637,NA
"451","SL19-UCONN-S275","SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-NL-3-FG1","SA18-CB-7-MG2","2020_275","GOM",5,8,2020,2,0.04892366,NA
"453","SL19-UCONN-S277","SL18-LL-9-FG2xSA18-CB-5-MG3","SL18-LL-9-FG2","SA18-CB-5-MG3","2020_277","GOM",5,8,2020,2,0.03154006,"0.021844646"
"2","SL19-UCONN-S278","SL18-SF-17-FG2xSA18-CB-7-MG3","SL18-SF-17-FG2","SA18-CB-7-MG3","2020_278","GOM",5,8,2020,3,1.729189987,"1.066910222"
"38","SL19-UCONN-S279","SA18-CB-4-FG6xSL18-JS-6-MG3","SA18-CB-4-FG6","SL18-JS-6-MG3","2020_279","GOM",5,9,2020,3,1.154265069,"0.697522381"
"458","SL19-UCONN-S283","SL18-CC-3-FG1xSL18-JS-11-MG2","SL18-CC-3-FG1","SL18-JS-11-MG2","2020_283","GOM",5,9,2020,2,0.047017142,"0.033208207"
"466","SL19-UCONN-S290","SA18-CB-5-FG6xSL18-CC-6-MG2","SA18-CB-5-FG6","SL18-CC-6-MG2","2020_290","GOM",5,11,2020,3,0.544987778,NA
"477","SL19-UCONN-S30","SL18-JS-19-FG3xSL18-OI-17-MG1","SL18-JS-19-FG3","SL18-OI-17-MG1","2020_30","GOM",1,6,2020,2,0.166598482,NA
"519","SL19-UCONN-S34","SL18-OI-17-FG4xSL18-CC-7-MG1","SL18-OI-17-FG4","SL18-CC-7-MG1","2020_34","GOM",1,7,2020,3,0.739377608,"0.383145476"
"529","SL19-UCONN-S35","SL18-OI-17-FG1xSL18-OI-4-MG1","SL18-OI-17-FG1","SL18-OI-4-MG1","2020_35","GOM",1,7,2020,2,0.181415223,NA
"557","SL19-UCONN-S42","SL18-CC-6-FG2xSL18-OI-11-MG4","SL18-CC-6-FG2","SL18-OI-11-MG4","2020_42","GOM",1,8,2020,3,0.40888204,NA
"558","SL19-UCONN-S43","SL18-JS-9-FG3xSA18-CB-10-MG1","SL18-JS-9-FG3","SA18-CB-10-MG1","2020_43","GOM",1,8,2020,2,0.092820179,"0.058421021"
"559","SL19-UCONN-S44","SL18-OI-6-FG3xSL18-JS-6-MG1","SL18-OI-6-FG3","SL18-JS-6-MG1","2020_44","GOM",1,8,2020,2,0.576919238,NA
"560","SL19-UCONN-S45","SL18-SF-13-FG2xSL18-JS-11-MG3","SL18-SF-13-FG2","SL18-JS-11-MG3","2020_45","GOM",1,9,2020,3,0.826645737,"0.505659197"
"561","SL19-UCONN-S46","SL18-JS-19-FG3xSL18-LD-13-MG3","SL18-JS-19-FG3","SL18-LD-13-MG3","2020_46","GOM",1,9,2020,2,0.241280563,NA
"32","SL19-UCONN-S53","SA18-CB-2-FG3xSL18-CC-2-MG5","SA18-CB-2-FG3","SL18-CC-2-MG5","2020_53","GOM",1,10,2020,3,1.407620503,"0.834578196"
"571","SL19-UCONN-S56","SA18-CB-9-FG1xSL18-OI-7-MG3","SA18-CB-9-FG1","SL18-OI-7-MG3","2020_56","GOM",1,11,2020,3,1.087371821,"0.730713864"
"572","SL19-UCONN-S57","SL18-CC-3-FG1xSL18-OI-16-MG2","SL18-CC-3-FG1","SL18-OI-16-MG2","2020_57","GOM",1,11,2020,2,0.316584317,NA
"573","SL19-UCONN-S58","SL18-CC-8-FG1xSL18-NC-8-MG2","SL18-CC-8-FG1","SL18-NC-8-MG2","2020_58","GOM",2,1,2020,2,0.068428155,"0.044156688"
"25","SL19-UCONN-S63","SL18-SF-13-FG2xSA18-CB-2-MG3","SL18-SF-13-FG2","SA18-CB-2-MG3","2020_63","GOM",2,1,2020,3,1.135354404,"0.64317827"
"581","SL19-UCONN-S66","SL18-SF-13-FG2xSL18-JS-9-MG2","SL18-SF-13-FG2","SL18-JS-9-MG2","2020_66","GOM",2,2,2020,3,0.499327512,NA
"582","SL19-UCONN-S67","SL18-JS-19-FG2xSA18-CB-10-MG3","SL18-JS-19-FG2","SA18-CB-10-MG3","2020_67","GOM",2,2,2020,3,0.187770305,NA
"583","SL19-UCONN-S68","SL18-CC-6-FG1xSL18-JS-5-MG2","SL18-CC-6-FG1","SL18-JS-5-MG2","2020_68","GOM",2,2,2020,2,0.044764563,NA
"593","SL19-UCONN-S77","SL18-CC-12-FG2xSL18-LL-9-MG4","SL18-CC-12-FG2","SL18-LL-9-MG4","2020_77","GOM",2,4,2020,3,0.910135569,"0.446876564"
"594","SL19-UCONN-S78","SL18-NL-3-FG1xSL18-OI-7-MG3","SL18-NL-3-FG1","SL18-OI-7-MG3","2020_78","GOM",2,4,2020,3,0.203222777,NA
"602","SL19-UCONN-S85","SL18-NL-5-FG1xSL18-OI-14-MG1","SL18-NL-5-FG1","SL18-OI-14-MG1","2020_85","GOM",2,5,2020,2,0.180404521,NA
"604","SL19-UCONN-S87","SL18-NC-8-FG1xSL18-NL-7-MG2","SL18-NC-8-FG1","SL18-NL-7-MG2","2020_87","GOM",2,6,2020,2,0.214393172,NA
"605","SL19-UCONN-S88","SL18-JS-5-FG2xSL18-OI-5-MG3","SL18-JS-5-FG2","SL18-OI-5-MG3","2020_88","GOM",2,6,2020,2,0.066847096,"0.041030748"
"608","SL19-UCONN-S90","SL18-CC-10-FG4xSL18-NC-2-MG2","SL18-CC-10-FG4","SL18-NC-2-MG2","2020_90","GOM",2,6,2020,3,0.720187772,"0.432184682"
"609","SL19-UCONN-S91","SL18-NC-5-FG3xSL18-OI-2-MG2","SL18-NC-5-FG3","SL18-OI-2-MG2","2020_91","GOM",2,7,2020,3,0.194644302,NA
"22","SL19-UCONN-S92","SL18-OI-16-FG2xSL18-OI-18-MG1","SL18-OI-16-FG2","SL18-OI-18-MG1","2020_92","GOM",2,7,2020,3,0.131013916,"0.071900437"
"610","SL19-UCONN-S93","SL18-CC-1-FG2xSL18-NC-11-MG2","SL18-CC-1-FG2","SL18-NC-11-MG2","2020_93","GOM",2,7,2020,3,0.285495162,NA
"612","SL19-UCONN-S95","SL18-CC-12-FG3xSL18-NC-11-MG2","SL18-CC-12-FG3","SL18-NC-11-MG2","2020_95","GOM",2,7,2020,3,0.259227887,NA
"613","SL19-UCONN-S96","SA18-CB-7-FG1xSL18-LD-1-MG1","SA18-CB-7-FG1","SL18-LD-1-MG1","2020_96","GOM",2,8,2020,2,0.260960484,NA
"616","SL19-UCONN-S99","SL18-NC-10-FG3xSA18-CB-3-MG2","SL18-NC-10-FG3","SA18-CB-3-MG2","2020_99","GOM",2,8,2020,2,0.003396366,NA
"43","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-A","GOM",2,8,2019,3,0.3,NA
"44","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-B","GOM",2,2,2019,3,0.29,NA
"45","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-C","GOM",2,4,2019,3,0.31,NA
"46","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-D","GOM",1,5,2019,3,0.1,NA
"47","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-E","GOM",1,8,2019,3,0.17,NA
"48","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-F","GOM",3,1,2019,3,0.41,NA
"49","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-G","GOM",4,6,2019,3,0.2,NA
"50","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-H","GOM",4,7,2019,3,0.37,NA
"51","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-I","GOM",4,9,2019,3,0.31,NA
"52","Check","SL18-ME-1-FG1xSL18-ME-1-MG1","SL18-ME-1-FG1","SL18-ME-1-MG1","Z1-J","GOM",4,3,2019,3,0.22,NA
"53","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-A","GOM",2,3,2019,3,0.17,NA
"54","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-B","GOM",1,9,2019,3,0.16,NA
"42","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-D","GOM",3,5,2019,3,0.22,NA
"56","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-E","GOM",3,7,2019,3,0.12,NA
"57","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-F","GOM",3,8,2019,3,0.24,NA
"58","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-G","GOM",4,2,2019,3,0.3,NA
"59","Check","SL18-ME-1-FG1xSL18-ME-2-MG2","SL18-ME-1-FG1","SL18-ME-2-MG2","Z2-H","GOM",4,4,2019,2,0.13,NA
"61","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-A","GOM",1,1,2020,3,0.424155947,NA
"62","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-B","GOM",1,3,2020,3,0.216209429,NA
"63","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-C","GOM",1,6,2020,3,0.441624815,NA
"64","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-D","GOM",2,7,2020,3,0.462943058,NA
"39","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-E","GOM",3,2,2020,3,0.251174836,NA
"65","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-F","GOM",3,4,2020,3,0.089811911,NA
"67","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-H","GOM",4,8,2020,2,0.241059201,NA
"68","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-I","GOM",4,10,2020,2,0.215019677,NA
"69","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-J","GOM",5,5,2020,3,0.227034897,NA
"70","Check","SL18-OI-15-FGxSL18-ME-MG1","SL18-OI-15-FG","SL18-ME-MG1","Z3-K","GOM",5,11,2020,3,0.332689925,NA
"74","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-D","GOM",2,3,2020,2,0.142536546,NA
"75","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-E","GOM",2,4,2020,2,NA,NA
"76","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-F","GOM",2,6,2020,2,0.073658425,NA
"77","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-G","GOM",3,8,2020,2,0.063229542,NA
"78","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-H","GOM",4,1,2020,2,0.069875947,NA
"79","Check","SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3","Z4-I","GOM",4,2,2020,2,0.079846029,NA
