X,GID,P1,P2,TraitBLUE,Year,CV
33299,SL18-NC-12-FG2xSL18-NL-5-MG2,SL18-NC-12-FG2,SL18-NL-5-MG2,NA,2020,7
33331,SL18-NC-12-FG2xSL18-OI-16-MG1,SL18-NC-12-FG2,SL18-OI-16-MG1,0.084840466,2020,10
34024,SL18-NC-15-FG3xSL18-CC-1-MG2,SL18-NC-15-FG3,SL18-CC-1-MG2,-0.365739017,2020,1
34332,SL18-NC-5-FG2xSL18-JS-11-MG3,SL18-NC-5-FG2,SL18-JS-11-MG3,-0.090325872,2020,10
34709,SL18-NC-5-FG3xSL18-OI-2-MG2,SL18-NC-5-FG3,SL18-OI-2-MG2,-0.161954839,2020,3
34950,SL18-NC-8-FG1xSL18-NL-7-MG2,SL18-NC-8-FG1,SL18-NL-7-MG2,0.004240999,2020,9
35428,SL18-NC-9-FG2xSL18-JS-11-MG3,SL18-NC-9-FG2,SL18-JS-11-MG3,0.034589198,2020,5
37005,SL18-NL-2-FG3xSA18-CB-4-MG1,SL18-NL-2-FG3,SA18-CB-4-MG1,-0.278974948,2020,9
37286,SL18-NL-3-FG1xSA18-CB-7-MG2,SL18-NL-3-FG1,SA18-CB-7-MG2,-0.075445765,2020,6
37426,SL18-NL-3-FG1xSL18-OD-3-MG1,SL18-NL-3-FG1,SL18-OD-3-MG1,-0.128956512,2020,2
37461,SL18-NL-3-FG1xSL18-OI-7-MG3,SL18-NL-3-FG1,SL18-OI-7-MG3,0.234539668,2020,6
37950,SL18-NL-3-FG3xSL18-NC-9-MG2,SL18-NL-3-FG3,SL18-NC-9-MG2,0.422686022,2020,4
38260,SL18-NL-5-FG1xSL18-OI-14-MG1,SL18-NL-5-FG1,SL18-OI-14-MG1,0.16925615,2020,7
39634,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,6
39635,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,1
39636,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,4
39637,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,3
39638,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,4
39639,SL18-NL-7-FG3xSL18-OI-15-MG3,SL18-NL-7-FG3,SL18-OI-15-MG3,-0.064657079,2020,8
39741,SL18-NL-7-FG4xSA18-CB-1-MG12,SL18-NL-7-FG4,SA18-CB-1-MG12,-0.023378091,2020,9
41442,SL18-OD-5-FG1xSL18-CC-8-MG2,SL18-OD-5-FG1,SL18-CC-8-MG2,-0.131400628,2020,9
41659,SL18-OD-5-FG3xSA18-CB-1-MG12,SL18-OD-5-FG3,SA18-CB-1-MG12,0.025570816,2020,7
42526,SL18-OI-11-FG3xSL18-CC-1-MG3,SL18-OI-11-FG3,SL18-CC-1-MG3,0.853950518,2020,10
42605,SL18-OI-11-FG3xSL18-NC-2-MG1,SL18-OI-11-FG3,SL18-NC-2-MG1,0.848318325,2020,6
42762,SL18-OI-15-FG1xSA18-CB-2-MG3,SL18-OI-15-FG1,SA18-CB-2-MG3,-0.031846901,2020,10
43037,SL18-OI-15-FG2xSA18-CB-2-MG3,SL18-OI-15-FG2,SA18-CB-2-MG3,0.323904063,2020,10
44304,SL18-OI-16-FG2xSL18-OI-18-MG1,SL18-OI-16-FG2,SL18-OI-18-MG1,-0.225585225,2020,4
44856,SL18-OI-17-FG1xSL18-OI-4-MG1,SL18-OI-17-FG1,SL18-OI-4-MG1,-0.261393103,2020,8
45277,SL18-OI-17-FG4xSL18-CC-7-MG1,SL18-OI-17-FG4,SL18-CC-7-MG1,0.296569282,2020,7
45309,SL18-OI-17-FG4xSL18-JS-6-MG2,SL18-OI-17-FG4,SL18-JS-6-MG2,0.71212107,2020,5
47430,SL18-OI-4-FG2xSA18-CB-7-MG2,SL18-OI-4-FG2,SA18-CB-7-MG2,1.699544324,2020,9
47496,SL18-OI-4-FG2xSL18-JS-19-MG2,SL18-OI-4-FG2,SL18-JS-19-MG2,0.07768053,2020,3
47534,SL18-OI-4-FG2xSL18-NC-15-MG1,SL18-OI-4-FG2,SL18-NC-15-MG1,0.839200453,2020,8
47979,SL18-OI-5-FG5xSA18-CB-7-MG3,SL18-OI-5-FG5,SA18-CB-7-MG3,-0.026704207,2020,9
48522,SL18-OI-6-FG2xSA18-CB-4-MG2,SL18-OI-6-FG2,SA18-CB-4-MG2,1.961213631,2020,6
48610,SL18-OI-6-FG2xSL18-LD-2-MG2,SL18-OI-6-FG2,SL18-LD-2-MG2,1.057874428,2020,5
48830,SL18-OI-6-FG3xSL18-CC-11-MG5,SL18-OI-6-FG3,SL18-CC-11-MG5,0.793086789,2020,4
48870,SL18-OI-6-FG3xSL18-JS-6-MG1,SL18-OI-6-FG3,SL18-JS-6-MG1,0.426040102,2020,3
50428,SL18-OI-9-FG4xSA18-CB-1-MG12,SL18-OI-9-FG4,SA18-CB-1-MG12,0.786473094,2020,1
51539,SL18-SF-13-FG1xSA18-CB-7-MG1,SL18-SF-13-FG1,SA18-CB-7-MG1,0.063600502,2020,8
51805,SL18-SF-13-FG2xSA18-CB-2-MG3,SL18-SF-13-FG2,SA18-CB-2-MG3,0.956600668,2020,2
51876,SL18-SF-13-FG2xSL18-JS-11-MG3,SL18-SF-13-FG2,SL18-JS-11-MG3,0.620518725,2020,3
51888,SL18-SF-13-FG2xSL18-JS-9-MG2,SL18-SF-13-FG2,SL18-JS-9-MG2,0.40794373,2020,4
52347,SL18-SF-17-FG2xSA18-CB-1-MG13,SL18-SF-17-FG2,SA18-CB-1-MG13,0.318917353,2020,5
52362,SL18-SF-17-FG2xSA18-CB-7-MG2,SL18-SF-17-FG2,SA18-CB-7-MG2,0.270569583,2020,5
52363,SL18-SF-17-FG2xSA18-CB-7-MG3,SL18-SF-17-FG2,SA18-CB-7-MG3,1.554977426,2020,3
52458,SL18-SF-17-FG2xSL18-NC-1-MG1,SL18-SF-17-FG2,SL18-NC-1-MG1,-0.014504453,2020,5
52464,SL18-SF-17-FG2xSL18-NC-12-MG1,SL18-SF-17-FG2,SL18-NC-12-MG1,0.041271359,2020,2
52530,SL18-SF-17-FG2xSL18-OI-4-MG3,SL18-SF-17-FG2,SL18-OI-4-MG3,-0.0705632,2020,8
