"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","Year"
"SL18-OI-15-FG1xSA18-CB-2-MG3",2.21412762854058,0.800840072845056,0.121173207788634,-0.803907595809526,0.073579906446225,2019
"SL18-OI-15-FG1xSL18-NL-5-MG1",-0.913417810194977,0.191339293943528,-0.113361752450214,NA,NA,2019
"SL18-OI-15-FG1xSL18-SF-15-MG1",2.65717669524146,0.0912545762754539,0.216707472595428,-1.89697595746063,0.0696671017763378,2019
"SL18-OI-16-FG3xSA18-CB-4-MG3",2.35625222504583,-0.380140476198157,0.166509907728314,1.31285134539779,0.0528591274654796,2019
"SL18-OI-16-FG3xSA18-CB-5-MG3",-2.13808011009063,3.11708744066094,-0.155288117441109,NA,NA,2019
"SL18-OI-16-FG3xSL18-LD-3-MG2",-0.384759384344013,-1.08740067447171,-0.0342146633691266,NA,NA,2019
"SL18-OI-16-FG3xSL18-NL-6-MG1",-0.667769878630156,0.211356237477142,-0.0183220664151421,NA,NA,2019
"SL18-OI-16-FG3xSL18-SF-17-MG2",2.23471915731995,-0.0698828743308719,0.111987321110053,-5.11479369202547,0.0359436433505725,2019
"SL18-OI-17-FG1xSL18-SF-13-MG2",3.16094088370863,-1.25754194001184,0.191754909896143,1.61317793653676,0.0613380685619924,2019
"SL18-OI-17-FG2xSL18-SF-17-MG2",-2.27627966335932,-0.820506104654947,-0.197771388539716,-4.12268458283873,-0.193213947825314,2019
"SL18-OI-18-FG1xSL18-OI-9-MG3",1.57810801714155,-1.14030638164111,0.103099085162246,-1.39038440658379,0.00460686538831666,2019
"SL18-OI-18-FG2xSA18-CB-7-MG1",0.209553611873868,0.653647046422663,0.0976710014694356,-5.07391424231576,0.0142912590351982,2019
"SL18-OI-18-FG2xSL18-LD-10-MG1",1.00514067020418,-0.786825794185611,0.0849537613686625,NA,NA,2019
"SL18-OI-18-FG2xSL18-LD-2-MG3",-1.91420758504239,0.22136470924395,-0.14560887380839,NA,NA,2019
"SL18-OI-18-FG2xSL18-LD-9-MG1",-0.78034377633495,1.68204003552101,0.0330419731747053,NA,NA,2019
"SL18-OI-18-FG2xSL18-NL-2-MG2",-0.444656884622055,-0.196661107820477,-0.0209909468956651,NA,NA,2019
"SL18-OI-18-FG3xSL18-LL-9-MG1",-1.46286529097667,1.28226271652554,-0.113361752450214,NA,NA,2019
"SL18-OI-18-FG3xSL18-OI-7-MG1",0.181358165819378,0.461024918876403,0.0337174996052651,NA,NA,2019
"SL18-OI-18-FG5xSA18-CB-4-MG3",-1.67478499945298,4.62547265222032,-0.0542762245534268,NA,NA,2019
"SL18-OI-18-FG5xSL18-LD-2-MG1",-0.415527114881704,-0.0971016111556628,0.0391775383579572,-1.63755793093947,-0.034603756005978,2019
"SL18-OI-18-FG5xSL18-SF-15-MG2",1.90816729670243,1.09506058568913,0.270817138430165,1.04757178754168,0.114768236137597,2019
"SL18-OI-18-FG6xSA18-CB-1-MG2",1.64304836998418,-1.93893831774782,0.0574993689758015,NA,NA,2019
"SL18-OI-18-FG6xSL18-NL-6-MG1",-1.49724239705547,0.61169510814944,-0.0906906447004045,-9.32944123315667,-0.0867257052053784,2019
"SL18-OI-2-FG2xSL18-LD-1-MG2",-2.05511397106818,0.770519480926576,-0.13970770230589,NA,NA,2019
"SL18-OI-2-FG3xSL18-NL-9-MG1",-2.07283295062439,3.06377069101726,-0.14560887380839,NA,NA,2019
"SL18-OI-2-FG3xSL18-SF-17-MG1",-1.35307463041407,0.51059909045308,-0.0710293693279161,NA,NA,2019
"SL18-OI-6-FG1xSA18-CB-2-MG1",-1.93663428432157,3.62464167845488,-0.138945081757644,NA,NA,2019
"SL18-OI-6-FG1xSA18-CB-4-MG1",0.605604602055841,-2.28026106676118,-0.0150439734329805,NA,NA,2019
"SL18-OI-6-FG1xSL18-LD-13-MG2",-0.964435125927848,0.644036910142487,-0.0869970182155251,-7.66707075440998,-0.065175675086581,2019
"SL18-OI-6-FG1xSL18-LD-2-MG1",-0.343680542553709,0.621158048928155,0.00264417207682816,NA,NA,2019
"SL18-OI-6-FG1xSL18-LD-5-MG1",0.353237127944728,-4.94098987741975,-0.091504015961536,NA,NA,2019
"SL18-OI-6-FG1xSL18-NL-9-MG1",-0.954012043905184,1.74162118818456,-0.0503562299577011,NA,NA,2019
"SL18-OI-6-FG1xSL18-SF-15-MG1",0.174475441625823,-0.446868851261836,0.0100318150978211,NA,NA,2019
"SL18-OI-6-FG1xSL18-SF-19-MG1",-1.49953593673622,-0.910580892293836,-0.122712217753454,NA,NA,2019
"SL18-OI-7-FG3xSA18-CB-2-MG3",-1.17470980320872,0.450305309948333,-0.0846952474444727,NA,NA,2019
"SL18-OI-9-FG1xSL18-LL-9-MG2",-0.975082784503558,-0.73677562450809,-0.0740192201676297,-3.08485485033974,-0.0783637787823095,2019
"SL18-SF-13-FG1xSL18-LL-9-MG3",-1.16179060230317,2.82397689944253,0.0182451189663827,NA,NA,2019
"SL18-SF-17-FG1xSL18-LL-9-MG1",-1.60861844286196,1.04501041601161,-0.124348767116912,NA,NA,2019
"SL18-SF-17-FG3xSA18-CB-10-MG1",2.14068049194806,-1.75081393996342,0.103099085162246,-1.92304207057065,0.0151150744595503,2019
"SL18-SF-17-FG3xSA18-CB-3-MG3",-0.0667510814554831,-0.3686739068692,-0.0356941581537578,NA,NA,2019
"SL18-SF-17-FG3xSL18-LD-2-MG1",-1.28192871022331,-0.037041718549398,-0.0739326710596965,-2.71265014225513,-0.108082269588156,2019
"SL18-SF-17-FG3xSL18-NL-10-MG2",-1.71212740565641,1.87276255076718,-0.144305742298243,NA,NA,2019
"SL18-SF-17-FG3xSL18-NL-2-MG3",0.487496562007373,-0.728973057424756,0.00853527484231456,NA,NA,2019
"SL18-SF-17-FG3xSL18-NL-9-MG1",0.0737535803944639,-0.676715420895065,0.0126533596463525,0.440414967029913,-0.0461813124452607,2019
"SL18-SF-17-FG3xSL18-OI-7-MG1",0.168862368864149,-0.876916099605145,-0.0120921899011847,-0.237936407660337,-0.0348489522618322,2019
"SL18-SF-17-FG3xSL18-OI-9-MG3",0.317274201075224,-0.0661033508293243,0.0188713252320377,1.24505913092172,-0.0168763896323197,2019
