"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","Year"
"SA18-CB-2-FG3xSL18-CC-2-MG5",10.192171627805,NA,NA,NA,NA,2020
"SA18-CB-2-FG3xSL18-NC-9-MG1",-0.566764908329341,NA,NA,NA,NA,2020
"SA18-CB-2-FG3xSL18-OI-2-MG2",-0.906071942369507,NA,NA,NA,NA,2020
"SA18-CB-4-FG6xSL18-JS-6-MG3",4.99485987484441,NA,NA,NA,NA,2020
"SA18-CB-5-FG4xSL18-CC-1-MG3",0.0937543671854746,NA,NA,NA,NA,2020
"SA18-CB-5-FG6xSL18-CC-6-MG2",-0.404820817246944,NA,NA,NA,NA,2020
"SA18-CB-7-FG1xSL18-LD-1-MG1",-1.64156620490217,NA,NA,NA,NA,2020
"SA18-CB-9-FG1xSL18-JS-19-MG1",3.03572269345063,NA,NA,NA,NA,2020
"SA18-CB-9-FG1xSL18-JS-5-MG3",-1.11280995116366,NA,NA,NA,NA,2020
"SA18-CB-9-FG1xSL18-OI-7-MG3",3.35833047245606,NA,NA,NA,NA,2020
"SL18-CC-1-FG1xSL18-CC-4-MG11",-0.788816050537634,NA,NA,NA,NA,2020
"SL18-CC-1-FG1xSL18-NC-15-MG3",2.30282162593931,NA,NA,NA,NA,2020
"SL18-CC-1-FG1xSL18-OI-16-MG3",-2.51298932185213,NA,NA,NA,NA,2020
"SL18-CC-1-FG2xSL18-NC-11-MG2",-2.43776104463636,NA,NA,NA,NA,2020
"SL18-CC-1-FG2xSL18-OI-16-MG1",-0.841805461605859,NA,NA,NA,NA,2020
"SL18-CC-1-FG2xSL18-OI-16-MG3",-3.12025149180362,NA,NA,NA,NA,2020
"SL18-CC-1-FG3xSL18-OI-9-MG2",-3.05251662764479,NA,NA,NA,NA,2020
"SL18-CC-10-FG4xSL18-NC-2-MG2",1.16591259012847,NA,NA,NA,NA,2020
"SL18-CC-11-FG3xSA18-CB-3-MG3",13.4179158638582,NA,NA,NA,NA,2020
"SL18-CC-11-FG3xSL18-CC-3-MG1",-1.81068495459584,NA,NA,NA,NA,2020
"SL18-CC-11-FG3xSL18-JS-16-MG1",1.96249150047395,NA,NA,NA,NA,2020
"SL18-CC-11-FG3xSL18-NC-2-MG3",4.41758883327726,NA,NA,NA,NA,2020
"SL18-CC-12-FG2xSL18-LL-9-MG4",4.98460031089816,NA,NA,NA,NA,2020
"SL18-CC-12-FG2xSL18-OI-15-MG2",4.88867150948677,NA,NA,NA,NA,2020
"SL18-CC-12-FG3xSL18-NC-11-MG2",-2.78164148111019,NA,NA,NA,NA,2020
"SL18-CC-12-FG3xSL18-OI-15-MG2",1.2033040545751,NA,NA,NA,NA,2020
