"","X","GID","P1","P2","TraitBLUE","Year","CV"
"16",24576,"SL18-LD-1-FG3xSL18-OI-6-MG2","SL18-LD-1-FG3","SL18-OI-6-MG2",-0.0875517732090036,2019,2
"17",24577,"SL18-LD-1-FG3xSL18-OI-7-MG1","SL18-LD-1-FG3","SL18-OI-7-MG1",-0.230000000000001,2019,3
"18",24581,"SL18-LD-1-FG3xSL18-OI-9-MG3","SL18-LD-1-FG3","SL18-OI-9-MG3",-0.132545224647409,2019,2
"19",24664,"SL18-LD-10-FG1xSA18-CB-1-MG2","SL18-LD-10-FG1","SA18-CB-1-MG2",-0.233279376459369,2019,10
"20",24840,"SL18-LD-10-FG1xSL18-OI-18-MG1","SL18-LD-10-FG1","SL18-OI-18-MG1",-0.374418572323024,2019,1
"21",24844,"SL18-LD-10-FG1xSL18-OI-4-MG1","SL18-LD-10-FG1","SL18-OI-4-MG1",-0.289293215058611,2019,2
"22",24952,"SL18-LD-10-FG2xSA18-CB-7-MG2","SL18-LD-10-FG2","SA18-CB-7-MG2",0.0449934514384101,2019,8
"23",25075,"SL18-LD-10-FG2xSL18-NL-3-MG2","SL18-LD-10-FG2","SL18-NL-3-MG2",-0.424418572323021,2019,2
"24",25856,"SL18-LD-13-FG2xSL18-LD-13-MG2","SL18-LD-13-FG2","SL18-LD-13-MG2",-0.0377318694405075,2019,1
"25",26043,"SL18-LD-2-FG2xSA18-CB-3-MG3","SL18-LD-2-FG2","SA18-CB-3-MG3",-0.209999999999998,2019,6
"26",26142,"SL18-LD-2-FG2xSL18-LL-9-MG2","SL18-LD-2-FG2","SL18-LL-9-MG2",-0.294418572323025,2019,2
