"","varE","varB","varU3","varU4","varU5"
"varMean",0.0719104486,0.01389647931,0.002707369592,0.002229585267,0.001752916673
"varfm",0.0837823726948893,0.0177722793424296,0.00362071184325333,0.00295133318184128,0.000804228336486807
