"","testing","Individual","popChk","Year","y","yHat"
"106",272,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.251174836,5.34592854243769
"107",273,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.089811911,5.23746531000382
"108",274,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.241059201,5.28946507324426
"109",275,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.215019677,5.5045154189188
"110",276,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.227034897,5.20988200261062
"111",277,"SL18-OI-15-FGxSL18-ME-MG1","Z3",2020,0.332689925,5.22292993585854
"112",278,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,0.142536546,1.09773336867083
"113",279,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,NA,1.00539123533314
"114",280,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,0.073658425,1.07292543476166
"115",281,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,0.063229542,1.10658067738351
"116",282,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,0.069875947,1.15449931896319
"117",283,"SL18-NL-7-FG3xSL18-OI-15-MG3","Z4",2020,0.079846029,1.1240012730967
