factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.07160898 0.003175381 -1.023207 -0.7734335
0.08440434 -0.0253307 -0.9613062 -0.6768041
0.002198599 -0.02955438 -1.026212 -0.7309999
0.08131167 -0.001632507 -0.9485637 -0.6435067
0.04416898 -0.06313455 -0.916697 -0.4670676
-0.001766971 -0.03138194 -0.9260191 -0.5924595
0.02777486 -0.05584566 -1.008153 -0.533976
0.05875849 -0.0561622 -0.9259025 -0.5092709
0.07278343 -0.09239401 -0.9248436 -0.5711924
0.03041314 -0.1117157 -0.8616397 -0.533449
0.1116275 -0.04393065 -0.9764789 -0.4871546
0.06459023 -0.01995986 -1.040367 -0.8300987
-0.01499858 0.0297438 -1.153168 -0.73654
0.005080326 -0.06522198 -1.215539 -0.7711421
-0.005903209 -0.04789014 -1.133088 -0.8169892
0.02786435 0.01449112 -1.164696 -0.8643087
0.06394352 -0.04743081 -1.299719 -0.9062997
0.07335399 -0.03575661 -1.203401 -0.7274479
0.05730566 -0.04082735 -1.140394 -0.65225
0.07329983 -0.03217124 -1.201109 -0.4020339
0.04548843 -0.02052991 -1.336107 -0.5070164
0.110734 -0.06782 -1.289432 -0.5920676
0.03428765 -0.04315055 -1.305381 -0.7937187
0.03563198 -0.00959273 -1.312014 -0.9136333
0.004111346 -0.0475579 -1.355696 -0.8915624
0.03553789 -0.0387154 -1.410666 -1.022515
0.03702274 -0.05873733 -1.238371 -1.304758
0.02666975 -0.0801965 -1.227401 -1.250653
0.04711768 -0.1468714 -1.298557 -1.196996
0.04803788 -0.06046057 -1.418015 -1.133823
0.05209837 -0.05479801 -1.365409 -1.106257
0.03078783 -0.02647497 -1.34368 -1.116288
0.01905517 -0.0441023 -1.256583 -1.040325
0.03966752 -0.04901228 -1.261948 -1.010592
0.05811151 -0.05500954 -1.331314 -1.117403
0.05316245 0.004491988 -1.253863 -1.180861
0.07543031 0.01686276 -1.259324 -1.136814
0.05906482 -0.03427076 -1.283646 -1.312496
0.0391108 -0.06073331 -1.382912 -1.261491
0.01882055 -0.004666318 -1.395883 -1.192913
0.05406332 -0.05205534 -1.536593 -1.173474
0.02504263 -0.136079 -1.700389 -1.158208
0.033184 -0.08713474 -1.764669 -1.168155
0.009872794 -0.1233144 -1.783814 -1.119447
-0.007139362 -0.05249758 -1.670769 -1.052342
0.05334285 -0.03563233 -1.633489 -0.9189841
0.04206952 -0.0413863 -1.521212 -1.054702
0.04455568 -0.03915069 -1.558008 -1.003766
0.01939119 -0.03156365 -1.638611 -1.067024
0.02195043 -0.08249624 -1.615574 -0.8503
0.009806169 -0.1199916 -1.655606 -0.7285108
0.0227487 -0.008864052 -1.63117 -0.77883
0.03756436 -0.03287864 -1.751672 -0.7035965
0.02125707 -0.08216679 -1.779402 -0.5619413
0.004863312 -0.03419604 -1.784819 -0.5595036
0.01629687 -0.06417082 -1.770657 -0.5548603
0.04764009 -0.05700086 -1.719782 -0.4365866
0.05780324 -0.05051579 -1.634819 -0.3952844
0.04814398 -0.08652263 -1.668404 -0.3657894
0.08619913 -0.1247324 -1.72466 -0.3962975
0.07575153 -0.08959552 -1.613616 -0.4373899
0.006708818 -0.09782533 -1.630476 -0.5745384
0.02427965 -0.01789224 -1.660208 -0.6118144
0.02274958 -0.04993542 -1.63176 -0.6805654
0.01177778 -0.1368168 -1.537817 -0.7114846
-0.004796411 -0.03260072 -1.634239 -0.686987
0.07289751 -0.04991612 -1.583746 -0.8105106
-0.001076871 -0.07276021 -1.571998 -0.9185466
0.06386817 0.02336461 -1.544823 -1.014696
0.06202646 0.01479266 -1.567611 -0.8884305
0.1250318 -0.06767534 -1.601498 -0.9047959
0.05878535 -0.03874667 -1.529068 -1.056473
0.04370848 -0.07347335 -1.655951 -1.100255
0.02015645 -0.06544164 -1.731944 -1.048638
0.06939333 -0.0214062 -1.776411 -0.9834566
0.1025403 0.02558994 -1.767012 -0.9721277
0.05492019 -0.02823633 -1.872441 -0.8559912
0.05600329 -0.06136693 -1.81236 -0.7460334
0.06245891 -0.05014245 -1.82037 -0.7104058
0.06950777 -0.01503658 -1.88433 -0.7104854
0.08368786 0.01354944 -1.830083 -0.5806544
0.03233171 -0.007529735 -1.784986 -0.5829226
0.1018516 0.01455976 -1.839702 -0.5939205
0.05120051 -0.03517746 -1.857407 -0.5188121
0.05026077 -0.04584775 -2.000353 -0.7500229
0.04070877 -0.02095388 -1.940136 -0.5856122
0.07614442 -0.001016818 -1.97257 -0.787524
0.04478174 -0.007891434 -1.855888 -0.738335
0.05527654 -0.0745565 -1.938564 -0.8063451
0.09357452 -0.02517129 -1.886283 -0.8771132
0.07555039 -0.06470065 -1.847207 -0.9411141
0.04266198 0.03412004 -1.893927 -1.114809
0.06588545 -0.08108039 -1.839658 -1.247894
0.05690704 -0.00853649 -1.899218 -1.223717
-0.003354726 -0.1153724 -1.885461 -1.167499
0.0464124 -0.04705721 -2.004766 -1.183268
0.05879431 -0.1085308 -2.062251 -1.211669
0.0787855 0.002457223 -1.965103 -1.160616
0.01380701 0.02188865 -1.971473 -0.9696001
0.04453547 -0.04467258 -1.977972 -1.004113
0.01556077 -0.05291204 -1.918497 -1.0263
0.06455447 -0.06540376 -2.002124 -1.109667
0.05907326 -0.1058285 -1.967073 -1.090852
0.04143381 -0.03790503 -1.956827 -0.9534033
-0.0003498259 -0.1283309 -1.92849 -0.9449309
0.01257931 -0.06208614 -1.807881 -0.8249848
0.01246156 -0.1209268 -1.798769 -0.6790759
0.06683772 0.02566789 -1.929832 -0.7838735
0.04249597 -0.1004989 -1.863865 -0.8187493
0.02732148 -0.0004682811 -1.88956 -0.7615291
-0.02590542 -0.05112815 -1.75914 -0.7190217
0.03609217 -0.08766134 -1.714888 -0.3873845
0.06856186 -0.06383122 -1.65256 -0.482611
0.05054576 0.006512085 -1.735369 -0.4290328
0.02321821 -0.09933954 -1.634322 -0.4567712
0.02272104 -0.06240829 -1.630587 -0.4306701
0.03491871 -0.08444851 -1.575744 -0.5231524
-0.02104821 -0.06603603 -1.536745 -0.5148229
0.04279525 -0.08346283 -1.609458 -0.4803397
0.04649584 0.02448369 -1.48908 -0.5133228
0.07708045 0.006164022 -1.622749 -0.4694056
0.06130527 0.02754537 -1.668743 -0.5034989
0.08307557 -0.08835659 -1.674422 -0.5459043
0.01851103 -0.1213063 -1.668405 -0.6470257
0.05234205 -0.0133862 -1.6787 -0.6185419
0.04353299 -0.06165822 -1.597707 -0.5459792
0.1128727 -0.08107106 -1.586764 -0.5579366
0.05235354 -0.0314119 -1.511687 -0.5483779
0.06848103 -0.06868311 -1.434964 -0.6444245
0.07485685 -0.00262075 -1.361081 -0.8658142
0.02798598 -0.02191653 -1.474862 -0.7597007
-0.0001929362 -0.01565598 -1.48565 -0.6931758
0.008124695 -0.06556274 -1.501641 -0.8001243
0.07995479 -0.01087681 -1.534161 -0.7809435
0.0627632 -0.08192731 -1.460645 -0.7678985
0.03580272 -0.05038457 -1.428261 -0.8970436
0.06749456 -0.01051296 -1.52227 -1.006187
0.06059011 -0.02477668 -1.440864 -1.129963
0.07332565 -0.004342212 -1.445186 -1.068724
0.08150142 -0.03818508 -1.387936 -1.017505
0.08127812 -0.001281469 -1.350131 -1.071476
0.08177419 -0.001054637 -1.469104 -1.059336
0.01864364 0.02923881 -1.43419 -1.04252
0.005864718 -0.05293117 -1.600809 -1.070738
-0.004256082 -0.01360416 -1.572171 -1.144745
0.04222349 -0.03291539 -1.398242 -1.30087
0.02596236 -0.03648566 -1.356661 -1.526172
0.024534 -0.02931157 -1.432656 -1.501431
0.08226355 -0.06882649 -1.314383 -1.606242
0.02969341 -0.05226569 -1.359466 -1.513331
0.0509332 -0.08885916 -1.348696 -1.564558
