factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
-0.1051984 0.05115596 -0.08814213 -0.09465419
0.09622492 0.7900183 -0.0577126 -0.1893829
0.9262511 0.1783467 0.01878679 -0.4199386
0.7870632 -0.05976796 -0.1101441 -0.5748946
0.494517 0.4980929 -0.01922327 -0.3011584
0.3681977 0.6626251 -0.1182928 -0.2271555
0.5502115 1.360891 -0.0007908695 -0.5244262
0.4183767 1.827721 -0.0955602 -0.1291368
0.2453804 1.893098 -0.320772 -0.4235431
-0.3248745 1.28146 -0.05285283 -0.06921502
-1.023089 1.799468 -0.05017528 -0.2705138
-0.6353005 1.959291 -0.1772766 -0.1688516
-0.633162 2.142027 -0.05076847 -0.4585737
-0.2026108 2.035101 -0.2236039 -0.1336955
-0.1724781 1.508806 -0.250462 -0.1558521
-0.08225689 2.058699 -0.07224602 -0.2952707
-0.5325552 1.709444 -0.1290959 -0.2232958
-0.572269 1.743752 -0.2833757 -0.382575
-0.1996959 2.22434 -0.1817736 -0.2839613
-0.04006047 2.197378 -0.3066317 -0.7039398
0.06151889 1.917646 -0.4209963 -0.4702666
0.1726884 2.243741 -0.276164 -0.430651
0.230494 1.762597 -0.2531572 -0.4306704
0.2429091 1.515655 -0.1486278 -0.3434766
0.07130036 1.344008 -0.09948596 -0.3098151
0.5366045 1.284495 -0.1727803 -0.3045263
0.6530152 1.12929 -0.1822005 -0.2846876
0.6789212 0.7900303 -0.1601839 -0.2891218
0.9076943 0.9467594 -0.07344912 -0.2524785
1.121441 0.866913 -0.06938183 -0.216247
0.7911462 0.8038632 -0.1902279 -0.5308676
0.8722163 0.4839443 -0.1711983 -0.3469194
1.119713 0.4764144 -0.04601919 -0.3382938
1.447627 0.4796768 -0.08860797 -0.396511
1.548276 0.5598873 -0.2128156 -0.2653486
1.185344 0.672038 -0.09189206 -0.4412426
1.320102 0.01408074 -0.2174358 -0.2314181
1.281021 -0.2911751 -0.3357008 -0.3304501
0.9660395 -0.03209149 -0.13458 -0.5398999
1.154791 0.01938066 -0.3189952 -0.1884664
1.025379 0.3633579 -0.003199496 -0.09473402
0.7774587 0.3455977 0.02210161 -0.3077378
0.3581034 1.179258 -0.1752968 -0.3600056
0.8458462 1.404263 -0.1894783 -0.3380373
0.7794874 1.70627 -0.1327665 -0.4851066
0.3799428 2.339944 -0.2283043 -0.4502916
0.1516124 2.165751 -0.1769171 -0.4459606
0.4552548 2.868725 -0.07132872 -0.1281517
0.003006449 2.929994 -0.08974457 -0.3813915
0.07429373 2.784488 -0.1131125 -0.2983905
-0.2557258 2.651823 -0.1639301 -0.4077118
-0.1478357 2.642308 -0.2753179 -0.6170214
-0.3003207 2.399991 -0.13796 -0.4503244
-0.5371925 2.438854 -0.09298473 -0.3242955
-0.3828919 2.032322 -0.03872215 -0.4226199
-0.5082251 1.97105 -0.1774737 -0.2185299
-0.5034451 1.906381 -0.04889189 -0.5922543
-0.6135956 2.014792 -0.1197117 -0.417158
-0.7813526 2.08738 -0.4464944 -0.2566384
-0.8924329 2.179754 -0.09093706 -0.02581093
-0.9380174 2.030517 -0.3171226 -0.2812644
-1.477687 1.906236 -0.02672251 -0.1934891
-1.432746 1.65513 0.02341521 -0.1594644
-1.603713 1.476501 -0.02915584 -0.334701
-1.535914 1.370056 -0.1313379 -0.363083
-1.418274 1.85893 -0.09611986 -0.2078188
-1.674907 2.020684 -0.1101465 -0.3270465
-1.813199 1.65148 -0.09217214 -0.2416718
-1.842938 1.686914 -0.08146022 -0.2872525
-1.663006 1.155083 -0.1191508 -0.3244887
-1.893171 0.8921175 -0.1276209 -0.4736203
-1.704034 0.8199872 -0.2178114 -0.5662053
-2.043238 0.8319731 -0.2115299 -0.7320951
-1.715681 0.2737259 -0.1153594 -0.1590928
-1.213907 -0.1194871 -0.114746 -0.5068501
-1.138459 -0.2054562 -0.1163856 -0.3646042
-0.8839023 -0.4772107 -0.1793215 -0.5808797
-1.472911 -0.03681811 -0.1134758 -0.4487325
-1.271388 0.1861976 -0.2416128 -0.2146108
-0.3006853 -0.4064956 -0.155097 -0.279028
0.1417301 0.05023173 -0.09564068 -0.2247203
0.9155722 -0.2772717 -0.179552 -0.2440545
1.412516 0.06140812 0.03877091 -0.3301379
