"","testing","Individual","popChk","Year","y","yHat"
"1",1,"SA18-CB-10-FG1xSL18-SF-19-MG2","ES",2019,0.42,0.436796157869121
"2",2,"SL18-LD-10-FG1xSL18-OI-4-MG1","ES",2019,0.23,0.365221842781515
"3",3,"SL18-NL-6-FG1xSL18-OI-11-MG2","ES",2019,0.11,0.398004420025803
"4",4,"SL18-NL-6-FG1xSL18-OI-14-MG2","ES",2019,0.48,0.44090676058301
"5",5,"SL18-NL-6-FG1xSL18-OI-15-MG1","ES",2019,0.47,0.456437938216621
"6",6,"SL18-NL-6-FG1xSL18-OI-16-MG1","ES",2019,0.34,0.277134679040157
"7",7,"SL18-NL-6-FG1xSL18-SF-17-MG1","ES",2019,0.41,0.319712194979314
"8",8,"SL18-NL-6-FG1xSL18-SF-19-MG2","ES",2019,0.27,0.45656445760984
"9",9,"SL18-LD-10-FG2xSA18-CB-7-MG2","ES",2019,0.38,0.495926301776076
"10",10,"SL18-LD-10-FG2xSL18-NL-3-MG2","ES",2019,0.11,0.420628113022476
"11",11,"SL18-NL-9-FG2xSA18-CB-7-MG1","ES",2019,0.22,0.413531618452333
"12",12,"SL18-NL-9-FG2xSL18-SF-19-MG1","ES",2019,0.28,0.209837951099819
"13",13,"SL18-OI-11-FG1xSL18-SF-15-MG2","ES",2019,0.23,0.392244997460606
"14",14,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2019,0.37,0.294848378431578
"15",15,"SL18-OI-15-FG1xSL18-NL-5-MG1","ES",2019,0.09,0.414961642933428
"16",16,"SL18-OI-15-FG1xSL18-SF-15-MG1","ES",2019,0.41,0.400688866511962
"17",17,"SL18-OI-16-FG3xSA18-CB-4-MG3","ES",2019,0.42,0.516691800416093
"18",18,"SL18-OI-16-FG3xSA18-CB-5-MG3","ES",2019,0.07,0.4975518549674
"19",19,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2019,0.3,0.0282861605236318
"20",20,"SL18-OI-16-FG3xSL18-LD-3-MG2","ES",2019,0.19,0.426773048184421
