"","varE","varB","varU3","varU4","varU5"
"varMean",0.05808158664875,0.0168922426944375,0.00855929148185625,0.0038331504413125,0.008962320411675
"varfm",0.0615980139368327,0.016856551801802,0.00825885350335847,0.00383313595369014,0.00868088135860453
