"","varE","varB","varU3","varU4","varU5"
"varMean",0.0294632189088,0.0063593786012,0.004068095211,0.00212377824739,0.0009512828139
"varfm",0.0291047102404769,0.00642149489459602,0.00419039689810336,0.00252408362451198,0.000908130249299564
