"","testing","Individual","popChk","Year","y","yHat"
"64",64,"SA18-CB-10-FG2xSL18-LL-9-MG1","ES",2019,0.2,0.474229802900805
"65",65,"SL18-LD-1-FG2xSL18-SF-13-MG3","ES",2019,0.22,0.415093052968386
"66",66,"SL18-LD-1-FG2xSL18-SF-15-MG1","ES",2019,0.27,0.441722035685816
"67",67,"SL18-LD-1-FG3xSL18-NL-5-MG1","ES",2019,0.1,0.401638996628278
"68",68,"SL18-LD-1-FG3xSL18-OI-11-MG2","ES",2019,0.3,0.378648858974912
"69",69,"SL18-LD-1-FG3xSL18-OI-15-MG1","ES",2019,0.14,0.483195992559674
"70",70,"SL18-LD-1-FG3xSL18-OI-16-MG1","ES",2019,0.11,0.411382106316686
"71",71,"SL18-LD-1-FG3xSL18-OI-6-MG2","ES",2019,0.16,0.484544292701625
"72",72,"SL18-LD-1-FG3xSL18-OI-7-MG1","ES",2019,0.19,0.410722225045147
"73",73,"SL18-LD-1-FG3xSL18-OI-9-MG3","ES",2019,0.2,0.40924271944286
"74",74,"SA18-CB-4-FG3xSA18-CB-4-MG3","ES",2019,0.22,0.557478005117963
"75",75,"SL18-LD-1-FG3xSL18-NL-9-MG2","ES",2019,0.11,0.439414753836437
"76",76,"SL18-LD-1-FG3xSL18-OI-15-MG2","ES",2019,0.24,0.487344231334916
"77",77,"SL18-LD-2-FG2xSA18-CB-3-MG3","ES",2019,0.21,0.431529266038559
"78",78,"SL18-LD-2-FG2xSL18-LL-9-MG2","ES",2019,0.24,0.412315218000824
"79",79,"SL18-LD-2-FG2xSL18-NL-9-MG1","ES",2019,0.04,0.398905886125522
"80",80,"SL18-LD-2-FG2xSL18-SF-19-MG1","ES",2019,0.33,0.107674898448345
"81",81,"SL18-LD-3-FG1xSL18-NL-9-MG1","ES",2019,0.08,0.300491872771422
"82",82,"SL18-LD-3-FG1xSL18-SF-19-MG2","ES",2019,0.23,0.422551644369452
"83",83,"SL18-LD-3-FG2xSA18-CB-2-MG3","ES",2019,0.18,0.348748520177979
"84",84,"SL18-LD-3-FG2xSL18-LL-9-MG2","ES",2019,0.19,0.32598099276562
"85",85,"SL18-LD-3-FG2xSL18-SF-17-MG3","ES",2019,0.1,0.299737392822502
"86",86,"SL18-LD-4-FG1xSA18-CB-2-MG1","ES",2019,0.19,0.460808575119372
"87",87,"SL18-LD-4-FG1xSL18-NL-3-MG2","ES",2019,0.14,0.40605657403115
"88",88,"SL18-LD-4-FG2xSL18-LL-9-MG1","ES",2019,0.08,0.443419370632851
"89",89,"SL18-LD-4-FG2xSL18-SF-15-MG2","ES",2019,0.27,0.402971383630368
"90",90,"SL18-LD-4-FG3xSL18-SF-17-MG1","ES",2019,0.17,0.322479478858684
"91",91,"SL18-LD-5-FG1xSA18-CB-10-MG1","ES",2019,0.13,0.3832639269875
"92",92,"SA18-CB-7-FG1xSL18-LL-9-MG3","ES",2019,0.38,0.397621340873297
"93",93,"SL18-LD-9-FG2xSL18-SF-13-MG3","ES",2019,0.11,0.263375702554492
"94",94,"SL18-LD-9-FG3xSL18-NL-7-MG1","ES",2019,0.12,0.447976290469059
"95",95,"SL18-LD-9-FG3xSL18-SF-17-MG1","ES",2019,0.29,0.39521576965096
"96",96,"SL18-LL-9-FG3xSL18-NL-9-MG1","ES",2019,0,0.341491465452902
"97",97,"SL18-NL-10-FG1xSA18-CB-4-MG3","ES",2019,0.24,0.300644986861148
"98",98,"SL18-NL-10-FG1xSL18-LD-2-MG1","ES",2019,0.07,0.375789141525765
"99",99,"SL18-LD-10-FG1xSA18-CB-1-MG2","ES",2019,0.26,0.426487204208085
"100",100,"SL18-NL-10-FG1xSL18-OI-15-MG1","ES",2019,0.38,0.338202631353079
"101",101,"SL18-NL-10-FG1xSL18-OI-7-MG1","ES",2019,0.34,0.22733433947129
"102",102,"SL18-NL-10-FG1xSL18-SF-13-MG1","ES",2019,0.33,0.24090646268778
"103",103,"SL18-NL-10-FG3xSL18-NL-3-MG2","ES",2019,0.04,0.370589116377069
"104",104,"SL18-NL-2-FG1xSA18-CB-1-MG2","ES",2019,0.38,0.361443008716025
"105",105,"SL18-NL-2-FG1xSL18-LD-13-MG2","ES",2019,0.31,0.33031684352213
"106",106,"SL18-NL-2-FG1xSL18-SF-17-MG1","ES",2019,0.42,0.392137712596103
"107",107,"SL18-NL-2-FG3xSA18-CB-2-MG3","ES",2019,0.17,0.379914077269182
"108",108,"SL18-NL-2-FG3xSA18-CB-4-MG1","ES",2019,0.1,0.0732029176264568
"109",109,"SL18-NL-2-FG3xSL18-LD-3-MG2","ES",2019,0.12,0.198847310429366
"110",110,"SL18-NL-2-FG3xSL18-OI-16-MG1","ES",2019,0.3,0.249025860570526
"111",111,"SL18-NL-3-FG1xSA18-CB-7-MG2","ES",2019,0.43,0.0815627062090176
"112",112,"SL18-NL-3-FG1xSL18-OI-11-MG2","ES",2019,0.26,0.278468611605206
"113",113,"SL18-NL-3-FG1xSL18-SF-13-MG2","ES",2019,0.2,0.15363526856939
"114",114,"SL18-NL-3-FG2xSL18-SF-17-MG2","ES",2019,0.46,0.368531984530547
"115",115,"SL18-NL-3-FG3xSA18-CB-2-MG2","ES",2019,0.17,0.404060643336869
