factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.5223466 -0.3453668 -0.2113436 -0.3658858
0.2711824 -0.4175472 0.009875822 -0.1392996
0.02711874 -1.215969 -0.2855593 -0.005974073
-0.3686443 -0.447294 -0.1833604 -0.03897298
-1.133035 -0.1631306 -0.08921141 0.1149324
-1.033657 -0.115893 -0.05006472 -0.03598554
-0.7166993 -0.7861407 -0.04751013 -0.1794308
-1.096293 -1.006787 -0.1006658 -0.2226199
-1.011984 -1.163808 0.05154382 -0.3228996
-0.5837739 -1.123575 -0.1960459 -0.6203923
-1.035985 -1.097959 -0.2565636 -0.4587617
-0.8112617 -1.378876 -0.2265294 -0.4324291
-0.8846728 -1.638371 -0.2318938 -0.4678067
-0.9101685 -1.70933 -0.2095401 -0.3762355
-0.6978871 -2.107367 -0.2704764 -0.3440222
-0.793425 -2.137184 -0.2584536 -0.3490574
-0.8576089 -2.008664 -0.1576241 -0.3760938
-1.06654 -2.520664 -0.1695169 -0.404654
-1.142508 -2.733323 -0.2076734 -0.3887663
-0.7317822 -2.726847 -0.1890833 -0.3820708
-0.843637 -2.968283 -0.04970936 -0.4183914
-1.201757 -3.012362 -0.1822241 -0.504037
-1.223583 -2.983726 -0.2355302 -0.3652036
-1.137233 -2.983167 -0.1030956 -0.3246579
-1.229406 -3.161054 -0.05742471 -0.5342218
-1.807089 -2.876057 -0.1688298 -0.3073084
-1.662308 -2.987146 -0.1266768 -0.2680284
-1.750832 -2.892306 -0.223853 -0.3938152
-1.800654 -2.926534 -0.1053282 -0.2890757
-1.713232 -2.920703 -0.1379594 -0.4298011
-1.769761 -2.893714 -0.1054224 -0.2069754
-1.583847 -3.01725 -0.09770382 -0.3831742
-1.802027 -2.816764 -0.08332574 -0.2078469
-1.959636 -3.145136 -0.1366477 -0.358498
-1.822328 -3.134066 -0.1253156 -0.4155666
-1.807746 -2.985525 -0.2170842 -0.293817
-1.910562 -3.046542 -0.1159217 -0.5877897
-1.727459 -2.650981 -0.06642353 -0.4516843
-1.710954 -2.129729 -0.1146386 -0.01090463
-1.762301 -1.541042 -0.0599045 -0.3757065
-2.389902 -1.823347 -0.03146202 -0.3596306
-2.79955 -1.631934 -0.02979419 -0.4312284
-2.653565 -1.39147 -0.1303622 -0.3262159
-2.721429 -1.502385 0.0151409 -0.2972716
-2.671124 -1.582235 -0.2012742 -0.3244509
-2.95776 -1.39503 -0.1802616 -0.2266979
-2.717948 -1.617064 -0.1082215 -0.2523792
-2.229868 -1.909416 -0.0858876 -0.2720638
-2.098908 -1.822007 -0.1435797 -0.3553792
-2.137739 -1.657523 -0.2620308 -0.3453548
-1.96911 -1.340858 -0.1474365 -0.3193483
-1.664022 -1.158719 -0.2339982 -0.2963741
-1.357736 -1.094174 -0.04521951 -0.2530532
-1.36355 -1.095109 -0.2251484 -0.2848925
-1.116241 -1.311296 -0.1545475 -0.2923665
-1.149778 -1.375307 -0.07117783 -0.2727799
-1.079589 -1.168596 -0.2274745 -0.3709153
-0.983496 -1.153206 -0.1130768 -0.1629436
-1.175411 -0.8140534 -0.1467798 -0.3273276
-1.098011 -0.6935123 -0.1868743 -0.2596768
-1.296013 -0.5667071 -0.1416672 -0.4607027
-1.581317 -0.3955445 -0.1396543 -0.3639363
-1.535001 -0.2893078 -0.2009847 -0.3818321
-1.710202 -0.5523808 -0.2355035 -0.3750207
-1.542296 -0.2101837 -0.229658 -0.3440236
-1.607597 -0.02547463 -0.3325593 -0.4057951
-1.858036 0.2076968 -0.3573201 -0.4593653
-1.890989 0.1484342 -0.2745913 -0.6916002
-2.007529 0.1683448 -0.3679252 -0.390943
-1.901415 0.4568699 -0.3219432 -0.6069551
-2.090179 0.1517077 -0.275435 -0.3479435
-1.721962 0.348458 -0.2065446 -0.4998146
-1.18114 0.3188898 -0.1839387 -0.4225862
-1.231576 0.1864859 -0.1770014 -0.4307544
-1.073931 0.08003106 -0.2417378 -0.5371191
-1.421614 -0.1557133 -0.270153 -0.4407245
-1.502133 0.2536702 -0.1834979 -0.6818287
-1.350951 0.2276129 -0.2034402 -0.4519704
-1.35598 0.1341176 -0.1782775 -0.4460366
-1.600713 -0.01654714 -0.1613601 -0.433713
-1.399491 -0.1354428 0.1386749 -0.1844549
-1.707033 -0.4273173 -0.03158863 -0.3400313
-1.815361 0.1140622 0.08716857 -0.2135821
-1.958846 -0.1269437 -0.1437938 -0.3515777
-2.252273 0.01794769 -0.1684626 -0.351387
-2.218315 -0.6711007 -0.1803803 -0.1893334
-2.357222 -0.1915155 -0.03783449 -0.2318112
-1.642499 -0.04285432 -0.1728612 -0.4257551
-1.751289 -0.3415749 -0.1687902 -0.2050403
-1.64459 0.1667582 -0.07194491 -0.5782725
-1.677281 -0.1355435 -0.1319368 -0.3337495
-1.813125 -0.1113578 -0.2474645 -0.275521
-1.8342 -0.1476184 -0.1285843 -0.3413698
-1.444765 -0.7955691 -0.01847322 -0.4691728
-1.244245 -0.798268 -0.2806493 -0.4762165
-1.541469 -0.4698283 -0.2090893 -0.517111
-1.468963 -0.6648706 -0.3696853 -0.2995268
-1.553757 -0.4758006 -0.2398588 -0.3906464
-1.395936 -0.6084174 -0.2002508 -0.3429416
-1.382327 -0.3737053 -0.1912186 -0.3652441
-1.219064 -0.7612766 -0.2245238 -0.5341341
-0.9269877 -0.06240611 -0.1506273 -0.4426854
-0.9312089 0.02880153 -0.1244596 -0.3886178
-1.01962 0.003477139 -0.1605377 -0.2947728
-1.424182 0.1562461 -0.142355 -0.3986128
-1.303719 -0.0369187 -0.07642922 -0.429288
-1.244998 -0.4504328 -0.15801 -0.3962396
-1.070357 -0.6531359 -0.1110571 -0.3335224
-1.134184 -0.9504261 -0.1521953 -0.3786338
-1.349339 -1.404849 -0.219491 -0.430004
-1.475787 -1.419859 -0.1952856 -0.409606
-1.441264 -1.438417 -0.1806299 -0.3541361
-1.650339 -1.34523 -0.1635713 -0.4213744
-1.554698 -1.335584 -0.1354457 -0.2704376
-1.398905 -1.287437 -0.1103323 -0.4540511
-1.22408 -1.4327 -0.08040372 -0.4037801
-1.219848 -1.670198 -0.06850991 -0.2815726
-1.245765 -1.484643 -0.06405738 -0.2708723
-1.504321 -1.282027 -0.02597711 -0.1814591
-1.213771 -1.495731 -0.1091596 -0.4652776
-1.170512 -1.468221 -0.1383534 -0.4895464
-1.164848 -1.398205 -0.1320339 -0.4426347
-1.157363 -1.377314 -0.1025581 -0.433793
-1.202539 -1.511099 -0.1653774 -0.3477327
-1.383617 -1.79071 -0.1896845 -0.3623033
-1.41759 -1.800672 -0.08883051 -0.3459731
-1.158847 -1.744646 -0.1534545 -0.2742688
-1.312369 -1.747309 -0.05395788 -0.170674
-1.223941 -1.760984 -0.05543495 -0.1507728
-1.616505 -1.931562 -0.06309768 -0.3147436
-1.495757 -1.914316 -0.1192228 -0.3842567
-1.584267 -2.031519 -0.1111714 -0.1834809
-1.481681 -2.242924 0.1698151 -0.1300178
-1.364571 -1.770692 0.1011189 -0.1918512
-1.260984 -1.558557 0.0859949 -0.07262814
-1.384638 -1.33583 -0.03381536 -0.2352889
-1.649413 -1.629859 -0.009599023 -0.2301382
-1.951426 -2.021955 -0.1063015 -0.3924333
-2.193977 -2.551681 -0.09273357 -0.3444046
-2.308382 -2.976615 -0.1698227 -0.3755118
-2.528985 -2.669166 -0.06364318 -0.5144802
-2.628759 -2.422238 -0.09952776 -0.2469237
-3.172955 -2.698548 -0.154944 -0.4374735
-2.845402 -2.517165 -0.05775009 -0.2980841
-3.004806 -2.336758 -0.2555762 -0.6061426
-2.813455 -2.410191 -0.132383 -0.3793269
-2.873283 -2.461397 -0.09120267 -0.4654002
-3.011273 -2.726254 -0.2621952 -0.337304
-3.078477 -2.812738 -0.1838231 -0.5323342
-2.654342 -2.91268 -0.09586637 -0.05418442
-2.804642 -3.334654 -0.1318392 -0.3207187
-2.554205 -2.977178 -0.1458308 -0.2743305
-2.014956 -3.050763 -0.07922704 -0.3670386
-2.080927 -3.141256 -0.2082829 -0.5493568
-2.339155 -3.447404 0.05097759 -0.4712325
-2.318143 -3.775149 -0.1888556 -0.4368796
-2.439862 -3.724323 -0.3135769 -0.3590026
-2.773724 -3.827289 -0.02207973 -0.4463982
-2.04035 -3.523721 -0.147952 -0.3387113
-2.118549 -3.480131 -0.06238558 -0.438019
-2.563678 -4.1451 -0.1053092 -0.3292944
-2.742981 -3.770623 -0.1248572 -0.4928413
-2.64563 -3.746528 -0.1442364 -0.3406698
-2.448619 -3.693398 -0.2532149 -0.1923901
-2.834239 -3.039146 -0.1870483 -0.1178826
-3.169904 -3.130337 -0.1431492 -0.2081406
-3.489413 -3.312714 -0.277615 -0.3944791
-3.487825 -3.591941 -0.09901329 -0.3808069
-3.267505 -3.326525 -0.09937903 -0.2534606
-3.217369 -3.346311 -0.2031275 -0.2531191
-3.291769 -3.303802 -0.09127528 -0.374876
-3.501827 -3.145171 -0.003905297 -0.4502517
-3.72355 -2.775647 -0.344395 -0.2525108
-3.979148 -2.672725 -0.2037777 -0.4229788
-3.850797 -2.631909 -0.2168247 -0.3242278
-3.800007 -2.828301 -0.2572224 -0.2674236
-3.75029 -2.889494 -0.1042137 -0.4076704
-3.471325 -2.982254 -0.251512 -0.5147294
-3.406032 -3.142861 -0.1773343 -0.4575058
-3.206972 -3.171791 -0.06888507 -0.4832524
-3.274398 -3.436394 -0.2807671 -0.522729
-3.044319 -3.390336 -0.2328574 -0.4823855
-2.945294 -3.321225 -0.1449997 -0.4453866
-2.705593 -2.919604 -0.1750832 -0.485242
-2.279829 -2.992925 -0.03324702 -0.3212154
-1.988345 -3.117553 -0.01835662 -0.3334975
-1.922349 -3.036061 -0.08802209 -0.3077561
-2.008812 -3.071971 -0.1810765 -0.4059501
-1.838977 -3.276008 -0.2241899 -0.4713381
-1.759622 -3.258939 -0.130379 -0.3378558
-1.862754 -3.408721 -0.1886221 -0.3447672
-1.807864 -3.477021 -0.1545175 -0.2817085
-2.171912 -3.632543 -0.06268077 -0.329377
-1.808841 -3.671616 -0.122953 -0.3409854
-1.493642 -3.707349 -0.06551076 -0.3231716
-1.069163 -3.76019 -0.1000244 -0.3007444
-1.329124 -3.721398 -0.07082146 -0.3733575
-1.267462 -3.960843 -0.08228795 -0.2794397
-1.290589 -3.29449 -0.1666703 -0.2247493
-1.198783 -2.920394 -0.08980199 -0.3123532
-0.9127877 -2.883158 -0.1866737 -0.3169261
-1.400022 -2.389219 -0.3670888 -0.3772658
-1.661787 -2.264417 0.07042149 -0.2711942
-1.417965 -2.385077 -0.1903272 -0.4144708
-1.263202 -2.304061 -0.1278455 -0.2860014
-1.058289 -2.442602 -0.2834319 -0.58555
-0.929039 -2.415046 -0.2637915 -0.3040704
-0.1778802 -2.511969 -0.1800916 -0.3405136
-0.1937789 -2.071138 -0.2175819 -0.2107682
0.04120133 -2.312732 0.003397769 -0.291169
0.1851072 -2.216145 -0.1971398 -0.3788978
0.04688754 -2.032403 -0.104578 -0.2860949
-0.07328019 -2.286852 -0.08697182 -0.4223043
-0.2832108 -2.826568 -0.2695409 -0.2168054
0.2023538 -3.225308 -0.04601572 -0.5370763
-0.007966345 -2.71951 -0.1227312 -0.287205
0.2792354 -2.884525 -0.1394705 -0.2973293
-0.4551256 -2.89201 -0.1785738 -0.4980858
-0.3479379 -2.857378 -0.2842029 -0.2804451
-0.2633815 -3.014997 -0.004854684 -0.3938971
-0.4331497 -3.159739 -0.0648929 -0.4109448
-0.2279939 -3.446224 0.02589102 -0.4283288
-0.5841138 -4.028523 -0.2364282 -0.3245886
-1.25718 -4.12049 -0.07478024 -0.2718731
-1.159294 -4.39361 0.00653418 -0.2248151
-1.426961 -4.491786 -0.2581392 -0.3489664
-1.297673 -3.676713 -0.3429778 -0.2299464
-1.534456 -2.671197 -0.07888535 -0.1347263
-1.612566 -2.003011 -0.1949277 -0.5540826
-1.518481 -1.662736 -0.1309001 -0.3558521
-1.294728 -1.81299 -0.05432335 -0.3832661
-0.9846523 -1.50201 -0.04186805 -0.2500825
-0.7812647 -1.935964 -0.1450158 -0.4289322
-0.5389426 -2.44164 -0.2179195 -0.3356462
-0.6193051 -2.849138 -0.1786449 -0.480571
-0.1729536 -2.958758 -0.1110847 -0.3883493
0.4871297 -2.851744 -0.03039718 -0.2225094
0.5737496 -3.208469 -0.2199781 -0.312543
0.82498 -3.29992 -0.07869607 -0.4189873
1.052049 -2.656758 -0.3101986 -0.410304
0.8938456 -2.607217 -0.1043993 -0.2801653
0.9965371 -2.421335 -0.0488006 -0.3169399
0.8740381 -2.277722 -0.02748304 -0.4823328
0.7703939 -2.055667 -0.1081422 -0.1808074
0.8738806 -2.168121 -0.2014313 -0.1880583
0.7709175 -1.951996 -0.3312217 -0.4972691
0.5389389 -1.798647 -0.168459 -0.5284151
0.6067821 -1.596959 -0.2357228 -0.5532657
0.624438 -2.064105 -0.1803875 -0.4351858
0.4522945 -1.975634 -0.01977667 -0.3814465
0.54369 -2.429628 -0.1554796 -0.1927448
0.5787688 -2.692812 -0.09003003 -0.3031164
0.5142828 -2.712549 -0.112734 -0.4244643
0.4567257 -2.713008 -0.147095 -0.3644824
0.4250783 -2.75741 -0.2768565 -0.3683764
0.6389468 -2.904694 -0.07826947 -0.1268506
0.6791136 -3.202361 -0.1228763 -0.4218341
0.7928144 -2.92153 -0.2297696 -0.2871648
0.7555465 -2.856893 -0.2872575 -0.3512458
0.6241917 -2.601862 -0.2223642 -0.3836769
0.8349167 -2.500804 -0.01110035 -0.160041
1.018793 -2.028073 -0.1021954 -0.3229004
0.8921108 -2.350987 -0.2046232 -0.4061481
1.034364 -2.379653 -0.1252929 -0.3499704
0.8198739 -2.507613 -0.1681793 -0.3978328
0.6627616 -2.239852 -0.2908376 -0.3338577
0.6018072 -2.247775 -0.2550663 -0.5703861
0.4177224 -2.487224 -0.3284313 -0.3789937
0.2943575 -2.338613 -0.1354447 -0.5676869
-0.03262148 -2.527957 -0.2421619 -0.3834838
-0.1082957 -2.437352 -0.2177991 -0.3717379
0.1886783 -2.594461 -0.1418573 -0.390712
0.371172 -2.844553 -0.1561571 -0.2149737
0.1818517 -2.926499 -0.1501519 -0.2361369
0.4337024 -2.77573 -0.1809504 -0.2413892
0.2724585 -2.689947 -0.1564666 -0.1901609
0.5289671 -2.584563 0.01610712 -0.2554331
0.4134698 -2.924774 -0.114315 -0.2172091
0.4540382 -3.0655 -0.1549601 -0.2232218
0.5996139 -3.004008 -0.0861266 -0.2409596
0.5908672 -3.008336 -0.1394242 -0.2293041
0.4292929 -3.055694 -0.003978518 -0.1606863
0.1943358 -3.247804 -0.1777356 -0.3229584
0.2086396 -3.580179 -0.1171214 -0.4092462
0.07798141 -3.539728 0.01132377 -0.2729629
0.04279341 -3.547097 -0.1040381 -0.2743476
-0.1142615 -3.4262 -0.05904307 -0.3532673
-0.274044 -3.95837 -0.04147252 -0.3248324
-0.1748124 -3.789572 -0.07966714 -0.5019933
-0.1101985 -3.623547 -0.1604033 -0.2782324
