"","varE","varB","varU3","varU4","varU5"
"varMean",0.058601274073,0.0170891468285,0.00865213180578,0.00380604422602,0.00891077014009
"varfm",0.0579474696991172,0.0166352611517165,0.00820753152896345,0.00365339925523828,0.00922494763679413
