"Individual" "Female" "Male"
"SL18-SF-13-FG2xSA18-CB-2-MG3" "SL18-SF-13-FG2xSA18-CB-2-MG3" "0" "0"
"SL18-SF-13-FG2xSL18-JS-9-MG2" "SL18-SF-13-FG2xSL18-JS-9-MG2" "0" "0"
"SL18-JS-19-FG2xSA18-CB-10-MG3" "SL18-JS-19-FG2xSA18-CB-10-MG3" "0" "0"
"SL18-CC-6-FG1xSL18-JS-5-MG2" "SL18-CC-6-FG1xSL18-JS-5-MG2" "0" "0"
"SL18-CC-12-FG2xSL18-LL-9-MG4" "SL18-CC-12-FG2xSL18-LL-9-MG4" "0" "0"
"SL18-NL-3-FG1xSL18-OI-7-MG3" "SL18-NL-3-FG1xSL18-OI-7-MG3" "0" "0"
"SL18-NL-5-FG1xSL18-OI-14-MG1" "SL18-NL-5-FG1xSL18-OI-14-MG1" "0" "0"
"SL18-NC-8-FG1xSL18-NL-7-MG2" "SL18-NC-8-FG1xSL18-NL-7-MG2" "0" "0"
"SL18-JS-5-FG2xSL18-OI-5-MG3" "SL18-JS-5-FG2xSL18-OI-5-MG3" "0" "0"
"SL18-CC-10-FG4xSL18-NC-2-MG2" "SL18-CC-10-FG4xSL18-NC-2-MG2" "0" "0"
"SL18-NC-5-FG3xSL18-OI-2-MG2" "SL18-NC-5-FG3xSL18-OI-2-MG2" "0" "0"
"SL18-OI-16-FG2xSL18-OI-18-MG1" "SL18-OI-16-FG2xSL18-OI-18-MG1" "0" "0"
"SL18-CC-1-FG2xSL18-NC-11-MG2" "SL18-CC-1-FG2xSL18-NC-11-MG2" "0" "0"
"SL18-CC-12-FG3xSL18-NC-11-MG2" "SL18-CC-12-FG3xSL18-NC-11-MG2" "0" "0"
"SA18-CB-7-FG1xSL18-LD-1-MG1" "SA18-CB-7-FG1xSL18-LD-1-MG1" "0" "0"
"SL18-NC-10-FG3xSA18-CB-3-MG2" "SL18-NC-10-FG3xSA18-CB-3-MG2" "0" "0"
