"Individual" "Female" "Male"
"SL18-SF-13-FG1xSL18-LL-9-MG3" "SL18-SF-13-FG1xSL18-LL-9-MG3" "0" "0"
"SL18-LD-1-FG2xSA18-CB-4-MG3" "SL18-LD-1-FG2xSA18-CB-4-MG3" "0" "0"
"SL18-SF-17-FG1xSL18-LL-9-MG1" "SL18-SF-17-FG1xSL18-LL-9-MG1" "0" "0"
"SL18-SF-17-FG3xSA18-CB-10-MG1" "SL18-SF-17-FG3xSA18-CB-10-MG1" "0" "0"
"SL18-SF-17-FG3xSA18-CB-3-MG3" "SL18-SF-17-FG3xSA18-CB-3-MG3" "0" "0"
"SL18-SF-17-FG3xSL18-LD-2-MG1" "SL18-SF-17-FG3xSL18-LD-2-MG1" "0" "0"
"SL18-SF-17-FG3xSL18-NL-10-MG2" "SL18-SF-17-FG3xSL18-NL-10-MG2" "0" "0"
"SL18-SF-17-FG3xSL18-NL-2-MG3" "SL18-SF-17-FG3xSL18-NL-2-MG3" "0" "0"
"SL18-SF-17-FG3xSL18-NL-9-MG1" "SL18-SF-17-FG3xSL18-NL-9-MG1" "0" "0"
"SL18-SF-17-FG3xSL18-OI-7-MG1" "SL18-SF-17-FG3xSL18-OI-7-MG1" "0" "0"
"SL18-SF-17-FG3xSL18-OI-9-MG3" "SL18-SF-17-FG3xSL18-OI-9-MG3" "0" "0"
"SA18-CB-10-FG2xSL18-LL-9-MG1" "SA18-CB-10-FG2xSL18-LL-9-MG1" "0" "0"
"SL18-LD-1-FG2xSL18-SF-13-MG3" "SL18-LD-1-FG2xSL18-SF-13-MG3" "0" "0"
"SL18-LD-1-FG2xSL18-SF-15-MG1" "SL18-LD-1-FG2xSL18-SF-15-MG1" "0" "0"
"SL18-LD-1-FG3xSL18-NL-5-MG1" "SL18-LD-1-FG3xSL18-NL-5-MG1" "0" "0"
"SL18-LD-1-FG3xSL18-OI-11-MG2" "SL18-LD-1-FG3xSL18-OI-11-MG2" "0" "0"
"SL18-LD-1-FG3xSL18-OI-15-MG1" "SL18-LD-1-FG3xSL18-OI-15-MG1" "0" "0"
"SL18-LD-1-FG3xSL18-OI-16-MG1" "SL18-LD-1-FG3xSL18-OI-16-MG1" "0" "0"
"SL18-LD-1-FG3xSL18-OI-6-MG2" "SL18-LD-1-FG3xSL18-OI-6-MG2" "0" "0"
"SL18-LD-1-FG3xSL18-OI-7-MG1" "SL18-LD-1-FG3xSL18-OI-7-MG1" "0" "0"
"SL18-LD-1-FG3xSL18-OI-9-MG3" "SL18-LD-1-FG3xSL18-OI-9-MG3" "0" "0"
"SA18-CB-4-FG3xSA18-CB-4-MG3" "SA18-CB-4-FG3xSA18-CB-4-MG3" "0" "0"
"SL18-LD-1-FG3xSL18-NL-9-MG2" "SL18-LD-1-FG3xSL18-NL-9-MG2" "0" "0"
"SL18-LD-1-FG3xSL18-OI-15-MG2" "SL18-LD-1-FG3xSL18-OI-15-MG2" "0" "0"
"SL18-LD-2-FG2xSA18-CB-3-MG3" "SL18-LD-2-FG2xSA18-CB-3-MG3" "0" "0"
"SL18-LD-2-FG2xSL18-LL-9-MG2" "SL18-LD-2-FG2xSL18-LL-9-MG2" "0" "0"
"SL18-LD-2-FG2xSL18-NL-9-MG1" "SL18-LD-2-FG2xSL18-NL-9-MG1" "0" "0"
"SL18-LD-2-FG2xSL18-SF-19-MG1" "SL18-LD-2-FG2xSL18-SF-19-MG1" "0" "0"
"SL18-LD-3-FG1xSL18-NL-9-MG1" "SL18-LD-3-FG1xSL18-NL-9-MG1" "0" "0"
"SL18-LD-3-FG1xSL18-SF-19-MG2" "SL18-LD-3-FG1xSL18-SF-19-MG2" "0" "0"
