"","varE","varB","varU3","varU4","varU5"
"varMean",0.046587317974,0.0106756610077,0.00576122883045,0.00194209292836,0.00360476429616
"varfm",0.0479602617216206,0.0110545270244915,0.00588609575335293,0.00193267229646857,0.00347602643107768
