"","testing","Individual","popChk","Year","y","yHat"
"56",56,"SL18-SF-17-FG3xSA18-CB-10-MG1","ES",2019,0.32,0.345723789836759
"57",57,"SL18-SF-17-FG3xSA18-CB-3-MG3","ES",2019,0.17,0.218836833583368
"58",58,"SL18-SF-17-FG3xSL18-LD-2-MG1","ES",2019,0.15,0.18851825689258
"59",59,"SL18-SF-17-FG3xSL18-NL-10-MG2","ES",2019,0.06,0.120985197092422
"60",60,"SL18-SF-17-FG3xSL18-NL-2-MG3","ES",2019,0.22,0.172727969138426
"61",61,"SL18-SF-17-FG3xSL18-NL-9-MG1","ES",2019,0.24,0.223197415669199
"62",62,"SL18-SF-17-FG3xSL18-OI-7-MG1","ES",2019,0.23,0.242725265674607
"63",63,"SL18-SF-17-FG3xSL18-OI-9-MG3","ES",2019,0.26,0.255050321184075
"64",64,"SA18-CB-10-FG2xSL18-LL-9-MG1","ES",2019,0.2,0.230058258130438
"65",65,"SL18-LD-1-FG2xSL18-SF-13-MG3","ES",2019,0.22,0.241206350667171
"66",66,"SL18-LD-1-FG2xSL18-SF-15-MG1","ES",2019,0.27,0.267478841353593
"67",67,"SL18-LD-1-FG3xSL18-NL-5-MG1","ES",2019,0.1,0.137912950109711
"68",68,"SL18-LD-1-FG3xSL18-OI-11-MG2","ES",2019,0.3,0.241815590251745
"69",69,"SL18-LD-1-FG3xSL18-OI-15-MG1","ES",2019,0.14,0.182809790500986
"70",70,"SL18-LD-1-FG3xSL18-OI-16-MG1","ES",2019,0.11,0.149701408804553
"71",71,"SL18-LD-1-FG3xSL18-OI-6-MG2","ES",2019,0.16,0.184747735195432
"72",72,"SL18-LD-1-FG3xSL18-OI-7-MG1","ES",2019,0.19,0.196670564892421
"73",73,"SL18-LD-1-FG3xSL18-OI-9-MG3","ES",2019,0.2,0.194297665102211
"74",74,"SA18-CB-4-FG3xSA18-CB-4-MG3","ES",2019,0.22,0.281102472672258
"75",75,"SL18-LD-1-FG3xSL18-NL-9-MG2","ES",2019,0.11,0.137140537855942
"76",76,"SL18-LD-1-FG3xSL18-OI-15-MG2","ES",2019,0.24,0.245482853401253
"77",77,"SL18-LD-2-FG2xSA18-CB-3-MG3","ES",2019,0.21,0.233777253500579
"78",78,"SL18-LD-2-FG2xSL18-LL-9-MG2","ES",2019,0.24,0.229650650632812
"79",79,"SL18-LD-2-FG2xSL18-NL-9-MG1","ES",2019,0.04,0.10234526047172
"80",80,"SL18-LD-2-FG2xSL18-SF-19-MG1","ES",2019,0.33,0.124443838690459
"81",81,"SL18-LD-3-FG1xSL18-NL-9-MG1","ES",2019,0.08,0.0874146697888281
"82",82,"SL18-LD-3-FG1xSL18-SF-19-MG2","ES",2019,0.23,0.2343575441208
"83",83,"SL18-LD-3-FG2xSA18-CB-2-MG3","ES",2019,0.18,0.17679238454325
"84",84,"SL18-LD-3-FG2xSL18-LL-9-MG2","ES",2019,0.19,0.188412148600548
"85",85,"SL18-LD-3-FG2xSL18-SF-17-MG3","ES",2019,0.1,0.126576506555675
"86",86,"SL18-LD-4-FG1xSA18-CB-2-MG1","ES",2019,0.19,0.221256831075415
"87",87,"SL18-LD-4-FG1xSL18-NL-3-MG2","ES",2019,0.14,0.160456274139945
"88",88,"SL18-LD-4-FG2xSL18-LL-9-MG1","ES",2019,0.08,0.137906284390857
"89",89,"SL18-LD-4-FG2xSL18-SF-15-MG2","ES",2019,0.27,0.261649642753194
"90",90,"SL18-LD-4-FG3xSL18-SF-17-MG1","ES",2019,0.17,0.171956448664423
"91",91,"SL18-LD-5-FG1xSA18-CB-10-MG1","ES",2019,0.13,0.164201722482559
"92",92,"SA18-CB-7-FG1xSL18-LL-9-MG3","ES",2019,0.38,0.330531066896863
"93",93,"SL18-LD-9-FG2xSL18-SF-13-MG3","ES",2019,0.11,0.117967374016093
"94",94,"SL18-LD-9-FG3xSL18-NL-7-MG1","ES",2019,0.12,0.171874152302796
"95",95,"SL18-LD-9-FG3xSL18-SF-17-MG1","ES",2019,0.29,0.263715128993591
"96",96,"SL18-LL-9-FG3xSL18-NL-9-MG1","ES",2019,0,0.0413939894083661
"97",97,"SL18-NL-10-FG1xSA18-CB-4-MG3","ES",2019,0.24,0.243349781456594
"98",98,"SL18-NL-10-FG1xSL18-LD-2-MG1","ES",2019,0.07,0.129252320031027
"99",99,"SL18-LD-10-FG1xSA18-CB-1-MG2","ES",2019,0.26,0.249343744374667
"100",100,"SL18-NL-10-FG1xSL18-OI-15-MG1","ES",2019,0.38,0.323740599674151
"101",101,"SL18-NL-10-FG1xSL18-OI-7-MG1","ES",2019,0.34,0.251111721742041
"102",102,"SL18-NL-10-FG1xSL18-SF-13-MG1","ES",2019,0.33,0.265118923226228
"103",103,"SL18-NL-10-FG3xSL18-NL-3-MG2","ES",2019,0.04,0.106255408846222
